Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
subcutaneous,01.08.2016,2016,authorised,approved,25.01.2018,2018,"Endocrine, nutritional, and metabolic diseases",semglee-epar-public-assessment-report_en.pdf,Biologics,Semglee,"Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",<Diabetes Mellitus>,no,"Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",<Diabetes Mellitus>,Mylan S.A.S,Mylan,EMA/119474/2018,insulin glargine,no,no,solution for injection,EMEA/H/C/004280/0000,NA
oral,29.10.2012,2012,withdrawn,conditional marketing authorisation,22.05.2014,2014,Neoplasms; Diseases of the nervous system; Diseases of the musculoskeletal system and connective tissue,translarna-epar-public-assessment-report_en.pdf,Small molecule,Translarna,"Treatment of Duchenne muscular dystrophy resulting from a nonsense mutation in the dystrophin gene, in patients aged 5 years and older",<Duchenne Muscular Dystrophy>,no,"Treatment of Duchenne muscular dystrophy resulting from a nonsense mutation in the dystrophin gene, in patients aged 5 years and older",<Duchenne Muscular Dystrophy>,PTC Therapeutics Limited,PTC,EMA/369266/2014,ataluren,no,yes,granules for oral suspension,EMEA/H/C/002720,NA
subcutaneous,04.06.2010,2010,authorised,approved,19.05.2011,2011,Neoplasms; Diseases of the musculoskeletal system and connective tissue,xgeva-epar-public-assessment-report_en.pdf,Biologics,XGEVA,Prevention of skeletal related events in adults with advanced malignancies involving bone,<Neoplasms>,yes,Prevention of skeletal related events in adults with advanced malignancies involving bone,<Malignant Neoplasms>,Amgen Europe B.V.,Amgen,EMA/002173/2011,denosumab,no,no,solution for injection,EMEA/H/C/002173,NA
Intravenous use and Oral use,02.04.2019,2019,authorised,approved,27.06.2019,2019,Diseases of the nervous system,lacosamide-ucb-epar-public-assessment-report_en.pdf,Small molecule,Lacosamide UCB,"Monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.",<Epilepsy>,yes,"Monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.",<Seizures>; <Epilepsy>,UCB Pharma S.A.,UCB,EMA/CHMP/441053/2019,lacosamide,yes,no,Film-coated tablet; Solution for infusion; Syrup,EMEA/H/C/005243/0000,Not reported
intramuscular,30.11.2020,2020,authorised,approved,06.01.2021,2021,Infectious and parasitic diseases,covid-19-vaccine-moderna-epar-public-assessment-report_en.pdf,Vaccine,COVID-19 Vaccine Moderna,active immunisation to prevent COVID-19 caused by SARS-CoV-2 virus in individuals 18 years of age and older,<COVID-19>,no,active immunisation to prevent COVID-19 caused by SARS-CoV-2 virus in individuals 18 years of age and older,<COVID-19>,"Moderna Biotech Spain, S. L.",Moderna,EMA/15689/2021,COVID-19 mRNA Vaccine (nucleoside-modified),no,no,dispersion for injection,EMEA/H/C/005791/0000,NA
intravenous; oral,Not reported,Not reported,withdrawn,withdrawn,26.01.2017,2017,Diseases of the respiratory system,blectifor-withdrawal-assessment-report_en.pdf,Small molecule,Blectifor,NA,Not Reported,no,prevention of bronchopulmonary dysplasia in preterm neonates,<Bronchopulmonary Dysplasia>,Not reported,Not Reported,EMA/CHMP/41570/2017,caffeine citrate,yes,yes,solution for injection and oral solution,EMEA/H/C/004100,Not reported
oral,04.07.2008,2008,authorised,approved,25.09.2008,2008,"Endocrine, nutritional, and metabolic diseases",jalra-epar-public-assessment-report_en.pdf,Small molecule,Jalra,Treatment of type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,yes,Treatment of type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,Novartis Europharm Ltd.,Novartis,Not reported,vildagliptin,yes,no,Not reported,EMEA/H/C/001048,Not reported
ocular,03.12.2007,2007,authorised,approved,25.09.2008,2008,Diseases of the eye and adnexa,azarga-epar-public-assessment-report_en.pdf,Small molecule,AZARGA,Decrease of intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction,"<Glaucoma, Open-Angle>; <Ocular Hypertension>",no,Decrease of intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction or is not well tolerated,"<Glaucoma, Open-Angle>; <Ocular Hypertension>",Alcon Laboratories (UK) Ltd.,Alcon,Not reported,brinzolamide/timolol,yes,no,eye drops suspension,EMEA/H/C/000960,Not reported
Oral,09.11.2020,2020,authorised,approved,24.02.2022,2022,"Endocrine, nutritional, and metabolic diseases",amversio-epar-public-assessment-report_en.pdf,Small molecule,Amversio,"Amversio is indicated as adjunctive treatment of homocystinuria, involving deficiencies or defects in: cystathionine beta-synthase (CBS), 5,10-methylene-tetrahydrofolate reductase (MTHFR), cobalamin cofactor metabolism (cbl).",<Homocystinuria>,no,"Amversio is indicated as adjunctive treatment of homocystinuria, involving deficiencies or defects in: cystathionine beta-synthase (CBS), 5,10-methylene-tetrahydrofolate reductase (MTHFR), cobalamin cofactor metabolism (cbl).",<Homocystinuria>,SERB SA,SERB,EMA/203554/2022,betaine anhydrous,yes,no,Oral powder,EMEA/H/C/005637/0000,NA
"Intradermal use, Subcutaneous use, Intratumoral use, Peritumoral use",03.12.2012,2012,withdrawn,approved,25.09.2014,2014,Neoplasms; Diseases of the skin; Diseases of the genitourinary system,lymphoseek-epar-public-assessment-report_en.pdf,Other,Lymphoseek,"Radiolabelled Lymphoseek is indicated for imaging and intraoperative detection of sentinel lymph nodes draining a primary tumour in adult patients with breast cancer, melanoma, or localised squamous cell carcinoma of the oral cavity.","<Breast Neoplasms>; <Melanoma>; <Carcinoma, Squamous Cell>; <Mouth Neoplasms>",no,"This medicinal product is for diagnostic use only. Lymphoseek is a diagnostic receptor-targeted radiopharmaceutical used in the delineation and localisation of lymph nodes. Lymphoseek is used intraoperatively for evaluation of tumour-draining lymph nodes with a handheld gamma detection probe, and may be used for complementary preoperative external gamma detection-based imaging.",<Neoplasms>,Navidea Biopharmaceuticals Limited,Navidea,EMA/CHMP/264502/2014,tilmanocept,no,no,Kit for radiopharmaceutical preparation,EMEA/H/C/002085/0000,NA
Oral,05.06.2014,2014,authorised,approved,20.11.2014,2014,Diseases of the genitourinary system,sevelamer-carbonate-zentiva-epar-public-assessment-report_en.pdf,Other,Sevelamer carbonate Zentiva,Control of hyperphosphataemia in adult patients receiving haemodialysis or peritoneal dialysis; Control of hyperphosphataemia in adult patients with chronic kidney disease not on dialysis with serum phosphorus > 1.78 mmol/L,<Hyperphosphatemia>; <Chronic Kidney Disease>,yes,Control of hyperphosphataemia in adult patients receiving haemodialysis or peritoneal dialysis; Control of hyperphosphataemia in adult patients with chronic kidney disease not on dialysis with serum phosphorus > 1.78 mmol/L,<Hyperphosphatemia>; <Chronic Kidney Disease>,Genzyme Europe BV,Genzyme,Not reported,Sevelamer carbonate,yes,no,Film-coated tablet; Powder for oral suspension,EMEA/H/C/003971,Not reported
subcutaneous,Not reported,Not reported,withdrawn,withdrawn,21.08.2008,2008,Diseases of the respiratory system; Diseases of the circulatory system,spanidin-withdrawal-assessment-report_en.pdf,Small molecule,Spanidin,NA,Not Reported,no,"therapy for induction of remission in adult patients suffering from refractory Wegener’s granulomatosis, unresolved by standard treatment with cyclophosphamide and glucocorticoids",<Granulomatosis with Polyangiitis>,Euro Nippon Kayaku GmbH,Nippon Kayaku,Not reported,Gusperimus,no,yes,lyophilised sterile powder for solution for injection,EMEA/H/C/000809,NA
cutaneous,29.10.2010,2010,authorised,approved,20.09.2012,2012,"Injury, poisoning and certain other consequences of external causes",nexobrid-epar-public-assessment-report_en.pdf,Other,NexoBrid,"Timely, selective removal of eschar in patients with deep partial- and/or full-thickness burns",<Deep Partial-Thickness Burns>; <Full-Thickness Burns>,no,"Timely, selective removal of eschar in patients with deep partial- and/or full-thickness burns",<Deep Partial Thickness Burn>; <Full Thickness Burn>,Teva Pharma GmbH,Teva,EMA/648483/2012,concentrate of proteolytic enzymes enriched in bromelain,no,yes,lyophilised powder,EMEA/H/C/002246,NA
intravenous,03.03.2023,2023,authorised,approved,27.06.2024,2024,Diseases of the nervous system,tauvid-epar-public-assessment-report_en.pdf,Other,Tauvid,Flortaucipir (18F) is a radiopharmaceutical indicated for positron emission tomography (PET) imaging of the brain to assess the neocortical distribution of aggregated tau neurofibrillary tangles (NFTs) in adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD).,<Alzheimer Disease>,no,Flortaucipir (18F) is a radiopharmaceutical indicated for positron emission tomography (PET) imaging of the brain to assess the neocortical distribution of aggregated tau neurofibrillary tangles (NFTs) in adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD).,<Alzheimer Disease>,Eli Lilly Nederland B.V.,Eli Lilly,EMA/CHMP/287487/2024,Flortaucipir (18F),no,no,solution for injection,EMEA/H/C/006064/0000,NA
intravitreal,28.05.2021,2021,authorised,approved,21.07.2022,2022,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",vabysmo-epar-public-assessment-report_en.pdf,Biologics,Vabysmo,neovascular (wet) age-related macular degeneration (nAMD); visual impairment due to diabetic macular oedema (DME),<Macular Degeneration>; <Diabetic Retinopathy>,no,neovascular (wet) age-related macular degeneration (nAMD); visual impairment due to diabetic macular oedema (DME),<Macular Degeneration>; <Diabetic Macular Edema>,Roche Registration GmbH,Roche,EMA/687844/2022,faricimab,no,no,solution for injection,EMEA/H/C/005642/0000,NA
Intravenous,16.12.2010,2010,authorised,approved,21.06.2012,2012,Infectious and parasitic diseases; Diseases of the respiratory system; Diseases of the skin,zinforo-epar-public-assessment-report_en.pdf,Small molecule,Zinforo,Complicated skin and soft tissue infections (cSSTI); Community-acquired pneumonia (CAP),<Skin Diseases>; <Soft Tissue Infections>; <Pneumonia>,no,Complicated skin and soft tissue infections (cSSTI); Community-acquired pneumonia (CAP),<Soft Tissue Infections>; <Pneumonia>,AstraZeneca AB,AstraZeneca,EMA/472628/2012,ceftaroline fosamil,no,no,Powder for concentrate for solution for infusion,EMEA/H/C/002252,NA
subcutaneous,03.11.2017,2017,authorised,approved,31.05.2018,2018,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",tegsedi-epar-public-assessment-report_en.pdf,Antisense oligonucleotide,Tegsedi,Treatment of stage 1 or Stage 2 polyneuropathy in adult patients with hereditary transthyretin amyloidosis (hATTR),<Polyneuropathies>; <Amyloidosis>,no,Treatment of patients with hereditary TTR amyloidosis (hATTR) to delay disease progression and improve quality of life,<Transthyretin Amyloidosis>,IONIS USA Ltd,IONIS,EMA/411876/2018,inotersen,no,yes,solution for injection,EMEA/H/C/004782/0000,NA
Subcutaneous,Not reported,Not reported,authorised,approved,Not reported,Not reported,Infectious and parasitic diseases,m-m-rvaxpro-epar-scientific-discussion_en.pdf,Vaccine,M-M-RVAXPRO,"Simultaneous vaccination against measles, mumps, and rubella in individuals 12 months or older",<Measles>; <Mumps>; <Rubella>,no,"Simultaneous vaccination against measles, mumps, and rubella in individuals 12 months or older",<Measles>; <Mumps>; <Rubella>,"Merck & Co., Inc",Merck,Not reported,Not reported,yes,no,Powder and solvent for suspension for subcutaneous injection,Not reported,CHMP
Intravenous,16.11.2020,2020,authorised,approved,11.11.2021,2021,Diseases of the nervous system,vyepti-epar-public-assessment-report_en.pdf,Biologics,Vyepti,Prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,no,Prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,H. Lundbeck A/S,Lundbeck,EMA/9446/2022,Eptinezumab,no,no,Concentrate for solution for infusion,EMEA/H/C/005287/0000,NA
intravenous,Not reported,Not reported,withdrawn,withdrawn,04.12.2009,2009,Diseases of the skin; Infectious and parasitic diseases,mersarex-withdrawal-assessment-report_en.pdf,Small molecule,Mersarex,NA,Not Reported,no,treatment of complicated skin and soft-tissue infections (cSSTI),<Soft Tissue Infections>,Not reported,Not Reported,EMA/CHMP/697798/2009,iclaprim mesylate,no,no,concentrate for solution for infusion,EMEA/H/C/1057,NA
oral,07.01.2022,2022,authorised,approved,27.01.2022,2022,Infectious and parasitic diseases,paxlovid-epar-public-assessment-report_en.pdf,Small molecule,Paxlovid,treatment of mild-to-moderate Coronavirus Disease 2019 (COVID-19) in adult and adolescent patients (12 years of age and older weighing at least 40 kg) and who are at high risk for progression to severe COVID-19,<Coronavirus Disease 2019>,no,treatment of mild-to-moderate Coronavirus Disease 2019 (COVID-19) in adult and adolescent patients (12 years of age and older weighing at least 40 kg) and who are at high risk for progression to severe COVID-19,<Coronavirus Disease 2019>,Pfizer Europe MA EEIG,Pfizer,EMA/95110/2022,"(1R,2S,5S)-N-((1S)-1-Cyano-2-((3S)-2-oxopyrrolidin-3-yl)ethyl)-3-((2S)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide / ritonavir",no,no,film-coated tablets,EMEA/H/C/005973/0000,NA
oral,28.02.2014,2014,authorised,approved,25.09.2014,2014,Infectious and parasitic diseases,harvoni-epar-public-assessment-report_en.pdf,Small molecule,Harvoni,treatment of chronic hepatitis C (CHC) genotype 1 in adults,<Chronic Hepatitis C>,no,treatment of chronic hepatitis C (CHC) genotype 1 in adults,<Hepatitis C>,Gilead Sciences International Ltd,Gilead,EMA/702742/2014,ledipasvir / sofosbuvir,no,no,film-coated tablets,EMEA/H/C/003850/0000,NA
intravenous,Not reported,Not reported,authorised,approved,Not reported,Not reported,Neoplasms; Diseases of the musculoskeletal system and connective tissue,bondronat-epar-scientific-discussion_en.pdf,Small molecule,Bondronat,treatment of tumour-induced hypercalcaemia with or without metastases,<Hypercalcemia>,yes,treatment of tumour-induced hypercalcaemia with or without metastases,<Hypercalcemia>,Not reported,Not Reported,Not reported,ibandronic acid,no,no,concentrate for solution for infusion,Not reported,NA
Intracerebroventricular,27.04.2021,2021,withdrawn,refused,15.12.2022,2022,Neoplasms; Diseases of the nervous system,omblastys-epar-refusal-public-assessment-report_en.pdf,Biologics,Omblastys,NA,Not Reported,no,Treatment of neuroblastoma with central nervous system (CNS)/leptomeningeal (LM) metastasis,<Neuroblastoma>,Y-mAbs Therapeutics A/S,Y-mAbs,EMA/3393/2023,iodine (131I) omburtamab,yes,yes,Solution for infusion,EMEA/H/C/005499/0000,Not reported
oral,01.10.2008,2008,authorised,approved,24.09.2009,2009,Other,sildenafil-teva-epar-public-assessment-report_en.pdf,Small molecule,Sildenafil TEVA,treatment of erectile dysfunction,<Erectile Dysfunction>,no,treatment of erectile dysfunction,<Impotence>,Teva Pharma B.V.,Teva,Not reported,sildenafil,yes,no,film-coated tablet,EMEA/H/C/001073,NA
oral,Not reported,Not reported,NA,refused,15.12.2016,2016,Diseases of the genitourinary system,elmisol-withdrawal-assessment-report_en.pdf,Small molecule,Elmisol,NA,Not Reported,no,treatment of Steroid Sensitive Nephrotic syndrome in children from 2 years up to 18 years,<Steroid-Sensitive Nephrotic Syndrome>,ACE Pharmaceuticals BV,ACE,EMA/CHMP/824474/2016,levamisole,yes,yes,film-coated tablet,EMEA/H/C/004330/0000,Not reported
intravenous,05.02.2021,2021,authorised,approved,19.05.2022,2022,Infectious and parasitic diseases; Diseases of the skin,ertapenem-sun-epar-public-assessment-report_en.pdf,Small molecule,Ertapenem SUN,"Treatment of intra-abdominal infections, community acquired pneumonia, acute gynaecological infections, diabetic foot infections of the skin and soft tissue; prophylaxis of surgical site infection following elective colorectal surgery",<Intraabdominal Infections>; <Pneumonia>; <Gynecologic Infections>; <Diabetic Foot>; <Surgical Wound Infection>,no,"Treatment of intra-abdominal infections, community acquired pneumonia, acute gynaecological infections, diabetic foot infections of the skin and soft tissue; prophylaxis of surgical site infection following elective colorectal surgery",<Intraabdominal Infections>; <Pneumonia>; <Gynecologic Infections>; <Diabetic Foot>; <Surgical Wound Infection>,SUN Pharmaceutical Industries (Europe) B.V.,SUN,EMA/569175/2022,ertapenem,yes,no,powder for concentrate for solution for infusion,EMEA/H/C/005815/0000,Not reported
Inhalation,24.10.2013,2013,authorised,approved,25.09.2014,2014,Diseases of the respiratory system,duaklir-genuair-epar-public-assessment-report_en.pdf,Small molecule,Duaklir Genuair,Maintenance bronchodilator treatment for airflow obstruction and relief of symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,<Chronic Obstructive Pulmonary Disease>,no,Maintenance bronchodilator treatment for airflow obstruction and relief of symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,"<Pulmonary Disease, Chronic Obstructive>",Almirall S.A,Almirall,EMA/CHMP/713778/2014,Aclidinium bromide/Formoterol fumarate dihydrate,no,no,Inhalation powder,EMEA/H/C/003745/0000,NA
intravenous,01.09.2017,2017,authorised,approved,26.07.2018,2018,Neoplasms; Diseases of the respiratory system,imfinzi-epar-public-assessment-report_en.pdf,Biologics,Imfinzi,"treatment of locally advanced, unresectable non-small cell lung cancer (NSCLC) in adults whose tumours express PD-L1 on ≥ 1% of tumour cells and whose disease has not progressed following platinum-based chemoradiation therapy",<Lung Neoplasms>,no,"treatment of adults with locally advanced, unresectable non-small cell lung cancer (NSCLC) whose disease has not progressed following platinum-based chemoradiation therapy",<Non-Small-Cell Lung Carcinoma>,AstraZeneca AB,AstraZeneca,EMA/548232/2018,durvalumab,no,no,concentrate for solution for infusion,EMEA/H/C/004771/0000,NA
oral,03.01.2017,2017,authorised,approved,26.07.2018,2018,Mental and behavioural disorders; Diseases of the nervous system,slenyto-epar-public-assessment-report_en.pdf,Small molecule,Slenyto,Treatment of insomnia characterized by maintenance problems and/or sleep onset difficulties in children aged 2-18 with Autism Spectrum Disorders and neurogenetic diseases.,<Insomnia>; <Autism Spectrum Disorder>; <Neurogenetic Diseases>,no,Treatment of insomnia characterized by maintenance problems and/or sleep onset difficulties in children aged 2-18 with Autism Spectrum Disorders and neurogenetic diseases.,<Autism Spectrum Disorder>,RAD Neurim Pharmaceuticals EEC Ltd.,Neurim,EMA/556280/2018,melatonin,no,no,prolonged-release tablet,EMEA/H/C/004425/0000,NA
intravenous,03.03.2021,2021,authorised,approved,14.10.2021,2021,Neoplasms,trodelvy-epar-public-assessment-report_en.pdf,Biologics,Trodelvy,"treatment of adult patients with unresectable or metastatic triple-negative breast cancer (mTNBC) who have received two or more prior systemic therapies, including at least one of them for advanced disease",<Breast Neoplasms>,no,"treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies, including at least one prior therapy for locally advanced or metastatic disease",<Breast Neoplasms>,Gilead Sciences Ireland UC,Gilead,EMA/623887/2021,sacituzumab govitecan,no,no,powder for concentrate for solution for infusion,EMEA/H/C/005182/0000,NA
"Intraarterial use, Intravenous use, Subcutaneous use",06.02.2015,2015,withdrawn,approved,21.07.2016,2016,Diseases of the circulatory system,thorinane-epar-public-assessment-report_en.pdf,Biologics,Thorinane,"Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention during haemodialysis","<Venous Thromboembolism>; <Deep Vein Thrombosis>; <Angina, Unstable>; <Myocardial Infarction>",no,"Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention during haemodialysis","<Venous Thromboembolism>; <Venous Thrombosis>; <Angina, Unstable>; <Myocardial Infarction>",Pharmathen S.A.,Pharmathen,EMA/536972/2016,enoxaparin sodium,yes,no,Solution for injection,EMEA/H/C/003795/0000,CHMP
oral,26.04.2017,2017,authorised,approved,14.12.2017,2017,Infectious and parasitic diseases,efavirenzemtricitabinetenofovir-disoproxil-krka-epar-public-assessment-report_en.pdf,Small molecule,Efavirenz/Emtricitabine/Tenofovir disoproxil Krka,Treatment of HIV-1 infection in adults with virologic suppression,<HIV Infections>,no,Treatment of HIV-1 infection in adults with virologic suppression,<Human Immunodeficiency Virus>,"KRKA, d.d., Novo mesto",KRKA,EMA/846772/2017,efavirenz / emtricitabine / tenofovir disoproxil,yes,no,film-coated tablet,EMEA/H/C/004274/0000,Not reported
oral,02.03.2016,2016,authorised,approved,18.05.2017,2017,Mental and behavioural disorders,reagila-epar-public-assessment-report_en.pdf,Small molecule,Reagila,Treatment of schizophrenia in adult patients.,<Schizophrenia>,no,Treatment of schizophrenia in adult patients. Treatment of schizophrenia with predominant negative symptoms in adult patients.,<Schizophrenia>,Gedeon Richter Plc.,Gedeon Richter,EMA/353055/2017,cariprazine,no,no,hard capsules,EMEA/H/C/002770/0000,NA
oral,Not reported,Not reported,withdrawn,approved,Not reported,Not reported,Mental and behavioural disorders,zerene-epar-scientific-discussion_en.pdf,Small molecule,Zerene,for the treatment of patients with insomnia who have difficulty falling asleep,<Insomnia>,no,for the treatment of patients with insomnia who have difficulty falling asleep,<Insomnia>,Wyeth Pharmaceuticals Company,Wyeth,Not reported,Zaleplon,no,no,capsule,Not reported,NA
intravitreal,09.09.2021,2021,authorised,approved,15.09.2022,2022,Diseases of the eye and adnexa,ximluci-epar-public-assessment-report_en.pdf,Biologics,Ximluci,The treatment of neovascular (wet) age-related macular degeneration (AMD); The treatment of visual impairment due to diabetic macular oedema (DME); The treatment of proliferative diabetic retinopathy (PDR); The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); The treatment of visual impairment due to choroidal neovascularisation (CNV).,<Macular Degeneration>; <Diabetic Macular Edema>; <Diabetic Retinopathy>; <Retinal Vein Occlusion>; <Choroidal Neovascularization>,no,The treatment of neovascular (wet) age-related macular degeneration (AMD); The treatment of visual impairment due to diabetic macular oedema (DME); The treatment of proliferative diabetic retinopathy (PDR); The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); The treatment of visual impairment due to choroidal neovascularisation (CNV).,<Macular Degeneration>; <Diabetic Macular Edema>; <Diabetic Retinopathy>; <Retinal Vein Occlusion>; <Choroidal Neovascularization>,STADA Arzneimittel AG,STADA,EMA/795998/2022,ranibizumab,yes,no,solution for intravitreal injection,EMEA/H/C/005617/0000,Not reported
oral,07.05.2014,2014,authorised,approved,19.11.2015,2015,Diseases of the nervous system,wakix-epar-public-assessment-report_en.pdf,Small molecule,Wakix,treatment of narcolepsy with or without cataplexy,<Narcolepsy>; <Cataplexy>,no,treatment of narcolepsy with or without cataplexy,<Narcolepsy>; <Cataplexy>,Bioprojet Pharma,Bioprojet,EMA/828546/2015,pitolisant,no,yes,film-coated tablet,EMEA/H/C/002616/0000,NA
oral,20.02.2009,2009,authorised,approved,25.06.2009,2009,Diseases of the circulatory system,clopidogrel-mylan-epar-public-assessment-report_en.pdf,Small molecule,Clopidogrel MYLAN,"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,no,"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,Mylan S.A.S,Mylan,Not reported,clopidogrel,no,no,film coated tablets,EMEA/H/C/001134,NA
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the genitourinary system,cialis-epar-scientific-discussion_en.pdf,Small molecule,Cialis,treatment of erectile dysfunction,<Impotence>,no,treatment of erectile dysfunction,<Impotence>,Not reported,Not Reported,Not reported,Tadalafil,no,no,film-coated tablets,Not reported,NA
intravenous,Not reported,Not reported,withdrawn,withdrawn,Not reported,Not reported,Infectious and parasitic diseases; Diseases of the eye and adnexa,vistide-epar-scientific-discussion_en.pdf,Small molecule,Vistide,NA,Not Reported,no,treatment of CMV retinitis in AIDS patients,<Retinitis>; <Acquired Immunodeficiency Syndrome>,Not reported,Not Reported,Not reported,Cidofovir,no,Not reported,solution for infusion,Not reported,NA
inhalation,28.10.2009,2009,authorised,approved,16.02.2012,2012,Diseases of the respiratory system; Congenital malformations and chromosomal abnormalities,bronchitol-epar-public-assessment-report_en.pdf,Small molecule,Bronchitol,treatment of cystic fibrosis (CF) in adults,<Cystic Fibrosis>,no,"treatment of cystic fibrosis (CF) in both paediatric and adult populations six years and above as either an add-on therapy to rhDNase or in patients intolerant to, or inadequately responsive to rhDNase.",<Cystic Fibrosis>,Pharmaxis Pharmaceuticals Ltd.,Pharmaxis,EMA/CHMP/121817/2012,mannitol,no,yes,encapsulated powder for inhalation,EMEA/H/C/001252,NA
inhalation,01.09.2011,2011,authorised,approved,21.06.2012,2012,Diseases of the respiratory system,tovanor-breezhaler-epar-public-assessment-report_en.pdf,Small molecule,Tovanor Breezhaler,maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD),<Chronic Obstructive Pulmonary Disease>,no,once daily maintenance bronchodilator treatment to relieve symptoms of patients with chronic obstructive pulmonary disease (COPD),"<Pulmonary Disease, Chronic Obstructive>",Novartis Europharm Ltd.,Novartis,EMA/CHMP/508244/2012,glycopyrronium bromide,no,no,inhalation powder,EMEA/H/C/002430,NA
nasal,19.07.2018,2018,authorised,approved,17.10.2019,2019,"Endocrine, nutritional, and metabolic diseases",baqsimi-epar-public-assessment-report_en.pdf,Peptides and proteins,BAQSIMI,"treatment of severe hypoglycaemia in adults, adolescents, and children aged 4 years and over with diabetes mellitus",<Diabetes Mellitus>,no,"treatment of severe hypoglycaemia in adults, adolescents, and children aged 4 years and over with diabetes mellitus",<Diabetes Mellitus>,Eli Lilly Nederland B.V.,Eli Lilly,EMA/CHMP/602404/2019,glucagon,no,no,nasal powder,EMEA/H/C/003848/0000,NA
intramuscular,Not reported,Not reported,withdrawn,approved,Not reported,Not reported,Infectious and parasitic diseases,daronrix-epar-scientific-discussion_en.pdf,Vaccine,Daronrix,prophylaxis of influenza in an officially declared pandemic situation,<Influenza>,no,prophylaxis of influenza in an officially declared pandemic situation,<Influenza>,GlaxoSmithKline Biologicals,GlaxoSmithKline,Not reported,Not reported,yes,no,suspension for injection,Not reported,CPMP/VEG/4717/03
inhalation,28.07.2011,2011,authorised,approved,24.05.2012,2012,Diseases of the respiratory system,eklira-genuair-epar-public-assessment-report_en.pdf,Small molecule,Eklira Genuair,maintenance bronchodilator treatment to relieve symptoms of patients with chronic obstructive pulmonary disease (COPD),<Chronic Obstructive Pulmonary Disease>,no,maintenance bronchodilator treatment to relieve symptoms of patients with chronic obstructive pulmonary disease (COPD),"<Pulmonary Disease, Chronic Obstructive>","Almirall, S.A.",Almirall,EMA/CHMP/169578/2012,aclidinium bromide,no,no,inhalation powder,EMEA/H/C/002211,NA
subcutaneous,06.10.2022,2022,authorised,approved,20.07.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,tepkinly-epar-public-assessment-report_en.pdf,Biologics,Tepkinly,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy,<Diffuse Large B-Cell Lymphoma>,no,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy,<Diffuse Large B-Cell Lymphoma>,AbbVie Deutschland GmbH & Co. KG,AbbVie,EMA/CHMP/419797/2023,epcoritamab,no,yes,solution for subcutaneous injection,EMEA/H/C/005985/0000,NA
