Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,27.04.2017,2017,authorised,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases; Diseases of the genitourinary system",000235777.pdf,Small molecule,Orkedia,Secondary hyperparathyroidism in patients on maintenance dialysis,no,Secondary hyperparathyroidism in patients on maintenance dialysis,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Evocalcet,no,no,tablet,Not reported,NA
oral,24.09.2014,2014,authorised,approved,28.05.2015,2015,Infectious and parasitic diseases,000215262.pdf,Small molecule,Harvoni,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,Gilead Sciences K.K.,Gilead,Not reported,Ledipasvir Acetonate/Sofosbuvir,no,no,tablet,Not reported,NA
intravenous,18.03.2022,2022,authorised,approved,28.11.2022,2022,Neoplasms; Diseases of the genitourinary system,000265791.pdf,Biologics,Libtayo,Advanced or recurrent cervical cancer that has progressed after chemotherapy,no,Advanced or recurrent cervical cancer that has progressed after chemotherapy,Sanofi K.K.,Sanofi,Not reported,Cemiplimab,no,no,injection,Not reported,NA
oral,17.10.2018,2018,authorised,approved,30.05.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240288.pdf,Small molecule,Vanflyta,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,no,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Quizartinib Hydrochloride,no,yes,tablet,Not reported,NA
Inhalation,30.06.2023,2023,authorised,approved,04.03.2024,2024,Diseases of the respiratory system,000272776.pdf,Biologics,Sargmalin,Autoimmune pulmonary alveolar proteinosis,no,Autoimmune pulmonary alveolar proteinosis,"Nobelpharma Co., Ltd.",Nobel,Not reported,Sargramostim,no,yes,Lyophilized powder,Not reported,NA
oral,31.05.2018,2018,authorised,approved,22.02.2019,2019,Diseases of the musculoskeletal system and connective tissue,000233074.pdf,Small molecule,Smyraf,Treatment of rheumatoid arthritis (including prevention of structural joint damage) in patients who have an inadequate response to conventional therapies.,no,Treatment of rheumatoid arthritis (including prevention of structural joint damage) in patients who have an inadequate response to conventional therapies.,Astellas Pharma Inc.,Astellas,Not reported,Peficitinib,no,no,tablet,Not reported,NA
subcutaneous,22.02.2017,2017,authorised,approved,24.11.2017,2017,Diseases of the respiratory system,000236124.pdf,Biologics,Fasenra,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),no,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),AstraZeneca K.K.,AstraZeneca,Not reported,Benralizumab,no,no,injection,Not reported,NA
oral,30.06.2023,2023,authorised,approved,09.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,000275223.pdf,Small molecule,Jaypirca,Relapsed or refractory mantle cell lymphoma in patients who are resistant or intolerant to other BTK inhibitors,no,Relapsed or refractory mantle cell lymphoma in patients who are resistant or intolerant to other BTK inhibitors,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Pirtobrutinib,no,Not reported,tablet,Not reported,NA
oral,22.02.2013,2013,authorised,approved,13.09.2013,2013,Infectious and parasitic diseases,000227565.pdf,Small molecule,Sovriad,Improvement of viraemia in patients with serogroup 1 (genotype I [1a] or II [1b]) chronic hepatitis C virus infection,no,Improvement of viraemia in patients with serogroup 1 (genotype I [1a] or II [1b]) chronic hepatitis C virus infection,Janssen Pharmaceutical K.K.,Janssen,Not reported,Simeprevir Sodium,no,no,capsule,Not reported,NA
intramuscular,25.07.2014,2014,authorised,approved,05.06.2015,2015,Diseases of the nervous system; Diseases of the eye and adnexa; Diseases of the musculoskeletal system and connective tissue,000216948.pdf,Biologics,Botox,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",yes,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Botulinum Toxin Type A,yes,no,Powder,Not reported,Not reported
intravenous,30.11.2017,2017,authorised,approved,24.05.2018,2018,Neoplasms; Diseases of the skin,000235773.pdf,Biologics,Poteligeo,Relapsed or refractory cutaneous T-cell lymphoma,yes,Relapsed or refractory CCR4-positive cutaneous T-cell lymphoma,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Mogamulizumab,no,yes,solution,Not reported,NA
oral,05.12.2016,2016,authorised,approved,02.03.2018,2018,Neoplasms; Diseases of the respiratory system,000237164.pdf,Small molecule,Tafinlar,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,yes,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,Novartis Pharma K.K.,Novartis,Not reported,Dabrafenib Mesilate,no,yes,capsule,Not reported,NA
intravenous,29.03.2019,2019,authorised,approved,05.11.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000243154.pdf,Biologics,Adcetris,"The following CD30-positive diseases: Hodgkin’s lymphoma, Peripheral T-cell lymphoma",yes,"The following CD30-positive diseases: Hodgkin’s lymphoma, Peripheral T-cell lymphoma, Relapsed or refractory anaplastic large-cell lymphoma",Takeda Pharmaceutical Company Limited,Takeda,Not reported,Brentuximab Vedotin,yes,yes,Powder,Not reported,Not reported
oral,26.11.2020,2020,authorised,approved,25.02.2022,2022,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases",000264058.pdf,Small molecule,Kerendia,Chronic kidney disease associated with type 2 diabetes mellitus,no,Chronic kidney disease associated with type 2 diabetes mellitus,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Finerenone,no,no,tablet,Not reported,NA
oral,09.12.2020,2020,authorised,approved,06.09.2021,2021,Diseases of the skin,000251034.pdf,Small molecule,Cibinqo,Atopic dermatitis in patients who have had an inadequate response to conventional treatments,no,Atopic dermatitis in patients who have had an inadequate response to conventional treatments,Pfizer Japan Inc.,Pfizer,Not reported,Abrocitinib,no,no,tablet,Not reported,NA
oral,18.06.2013,2013,authorised,approved,24.02.2014,2014,Diseases of the circulatory system,000213561.pdf,Small molecule,Efient,"The following ischemic heart diseases in patients who are to be managed with PCI: Acute coronary syndrome (unstable angina, non-ST segment elevation myocardial infarction, or ST segment elevation myocardial infarction); Stable angina pectoris or old myocardial infarction",no,Reduction of thrombotic events in patients with ischemic heart diseases managed with PCI,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Prasugrel Hydrochloride,no,no,tablet,Not reported,NA
subcutaneous,20.02.2013,2013,authorised,approved,26.06.2014,2014,Infectious and parasitic diseases,000210040.pdf,Vaccine,Squarekids,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",no,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis","Kitasato Daiichi Sankyo Vaccine Co., Ltd.",Kitasato Daiichi Sankyo,Not reported,Adsorbed Diphtheria-Purified Pertussis-Tetanus-Inactivated Polio (Salk Vaccine) Combined Vaccine,no,no,injection,Not reported,NA
intravenous,01.03.2021,2021,authorised,approved,26.11.2021,2021,Diseases of the circulatory system; Diseases of the nervous system,000264059.pdf,Small molecule,Pivlaz,Prevention of cerebrovascular spasm after surgery for subarachnoid haemorrhage caused by cerebral aneurysm and subsequent cerebral infarction and cerebral ischemic episodes,no,Prevention of cerebrovascular spasm after surgery for subarachnoid haemorrhage caused by cerebral aneurysm and subsequent cerebral infarction and cerebral ischemic episodes,Idorsia Pharmaceuticals Japan Ltd.,Idorsia,Not reported,Clazosentan Sodium,no,no,injection,Not reported,NA
oral,26.02.2021,2021,authorised,approved,02.12.2021,2021,Diseases of the respiratory system,000263285.pdf,Small molecule,Lyfnua,Refractory chronic cough,no,Refractory or unexplained chronic cough,MSD K.K.,MSD,Not reported,Gefapixant Citrate,no,no,tablet,Not reported,NA
oral,29.09.2010,2010,authorised,approved,07.02.2013,2013,Diseases of the digestive system,000153467.pdf,Small molecule,Acofide,"Postprandial fullness, upper abdominal bloating, and early satiation in patients with functional dyspepsia",no,"Functional dyspepsia (gastrointestinal symptoms such as postprandial fullness, upper abdominal bloating, and early satiation)","Zeria Pharmaceutical Co., Ltd.",Zeria,Not reported,Acotiamide,no,no,tablet,Not reported,NA
oral,31.08.2016,2016,authorised,approved,03.03.2017,2017,Infectious and parasitic diseases,000227564.pdf,Small molecule,Sovaldi,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Gilead Sciences K.K.,Gilead,Not reported,Sofosbuvir,no,no,tablet,Not reported,NA
Intravenous,04.03.2016,2016,authorised,approved,18.01.2017,2017,Diseases of the circulatory system,000227028.pdf,Small molecule,Epoprostenol ACT,Pulmonary arterial hypertension,yes,Pulmonary arterial hypertension,Actelion Pharmaceuticals Japan Ltd.,Actelion,Not reported,Epoprostenol Sodium,yes,no,Powder,Not reported,Not reported
oral,05.03.2019,2019,authorised,approved,25.11.2019,2019,Neoplasms; Diseases of the genitourinary system,000236125.pdf,Small molecule,Nubeqa,Non-metastatic castration-resistant prostate cancer,no,Castration-resistant prostate cancer,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Darolutamide,no,no,tablet,Not reported,NA
oral,24.02.2023,2023,authorised,approved,27.11.2023,2023,Neoplasms,000270833.pdf,Small molecule,Talzenna,BRCA-mutated HER2-negative inoperable or recurrent breast cancer after prior chemotherapy,no,Castration-resistant prostate cancer; BRCA-mutated HER2-negative inoperable or recurrent breast cancer,Pfizer Japan Inc.,Pfizer,Not reported,Talazoparib Tosilate,no,no,capsule,Not reported,NA
intravenous,30.06.2021,2021,authorised,approved,12.05.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,000263873.pdf,Small molecule,Darvias,Relapsed or refractory peripheral T-cell lymphoma,no,Relapsed or refractory peripheral T-cell lymphoma,Solasia Pharma K.K.,Solasia,Not reported,Darinaparsin,no,no,Lyophilized powder,Not reported,NA
intramuscular,14.07.2022,2022,authorised,approved,05.10.2022,2022,Infectious and parasitic diseases,000249724.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
intravenous,04.05.2020,2020,authorised,approved,07.05.2020,2020,Infectious and parasitic diseases,000243209.pdf,Small molecule,Veklury,Disease caused by SARS-CoV-2 infection (COVID-19),no,Disease caused by SARS-CoV-2 infection (COVID-19),Gilead Sciences K.K.,Gilead,Not reported,Remdesivir,yes,no,solution,Not reported,Not reported
intravenous,14.06.2023,2023,authorised,approved,29.02.2024,2024,Diseases of the blood and blood-forming organs,000273123.pdf,Biologics,Piasky,Paroxysmal nocturnal hemoglobinuria,no,Paroxysmal nocturnal hemoglobinuria,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Crovalimab,no,no,injection,Not reported,NA
intravenous,26.03.2020,2020,authorised,approved,04.09.2020,2020,Neoplasms; Diseases of the respiratory system,000239770.pdf,Biologics,Akalux,Unresectable locally advanced or recurrent head and neck cancer,no,Recurrent head and neck cancer,Rakuten Medical Japan K.K.,Rakuten,Not reported,Cetuximab Sarotalocan Sodium,no,no,injection,Not reported,NA
Intramuscular,11.04.2023,2023,authorised,approved,25.07.2023,2023,Infectious and parasitic diseases,000266328.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus (SARS-CoV-2) RNA Vaccine,yes,no,Injection,Not reported,Not reported
subcutaneous,28.04.2009,2009,authorised,approved,23.04.2010,2010,Diseases of the musculoskeletal system and connective tissue,000207926.pdf,Peptides and proteins,Forteo,Treatment of patients with osteoporosis at high risk for fracture,no,Treatment of patients with osteoporosis at high risk for fracture,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Teriparatide,no,no,solution,Not reported,NA
Inhalation,25.11.2011,2011,authorised,approved,06.09.2012,2012,Diseases of the respiratory system,000153897.pdf,Small molecule,Seebri,Relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),no,Relief of symptoms of airway obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema),Novartis Pharma K.K.,Novartis,Not reported,Glycopyrronium Bromide,no,no,capsule,Not reported,NA
intravenous,30.10.2014,2014,authorised,approved,03.08.2015,2015,Diseases of the musculoskeletal system and connective tissue; Diseases of the eye and adnexa; Diseases of the skin; Diseases of the digestive system; Diseases of the circulatory system,000213562.pdf,Biologics,Remicade,"Treatment of the following diseases in patients who had an inadequate response to conventional therapies: Rheumatoid arthritis, Refractory uveoretinitis associated with Behcet's disease, Plaque psoriasis, psoriatic arthritis, pustular psoriasis, erythrodermic psoriasis, Ankylosing spondylitis, Intestinal-Behcet's disease, neuro-Behcet's disease, vasculo-Behcet's disease, Treatment and maintenance therapy of Crohn's disease, Treatment of moderate to severe ulcerative colitis",yes,"Treatment of the following diseases in patients who had an inadequate response to conventional therapies: Rheumatoid arthritis, Refractory uveoretinitis associated with Behcet's disease, Plaque psoriasis, psoriatic arthritis, pustular psoriasis, erythrodermic psoriasis, Ankylosing spondylitis, Intestinal-Behcet's disease, neuro-Behcet's disease, vasculo-Behcet's disease, Treatment and maintenance therapy of Crohn's disease, Treatment of moderate to severe ulcerative colitis",Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Infliximab,yes,yes,Powder,Not reported,Not reported
intravenous,29.08.2014,2014,authorised,approved,05.03.2015,2015,Diseases of the blood and blood-forming organs,000213204.pdf,Peptides and proteins,NovoThirteen,Control of bleeding tendency in patients with congenital blood coagulation factor XIII A-subunit deficiency,no,Control of bleeding tendency in patients with congenital blood coagulation factor XIII A-subunit deficiency,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Catridecacog,no,yes,Lyophilized powder,Not reported,NA
oral,31.03.2015,2015,authorised,approved,28.08.2015,2015,Diseases of the circulatory system,000218422.pdf,Small molecule,Tracleer,Pulmonary arterial hypertension,yes,Pulmonary arterial hypertension,Actelion Pharmaceuticals Japan Ltd.,Actelion,Not reported,Bosentan,no,yes,tablet,Not reported,NA
subcutaneous,15.10.2014,2014,authorised,approved,05.06.2015,2015,"Endocrine, nutritional, and metabolic diseases",000213563.pdf,Biologics,Strensiq,Hypophosphatasia,no,Hypophosphatasia,Alexion Pharma G.K.,Alexion,Not reported,Asfotase Alfa,no,yes,injection,Not reported,NA
subcutaneous,27.05.2020,2020,authorised,approved,25.02.2021,2021,Diseases of the musculoskeletal system and connective tissue,000251036.pdf,Peptides and proteins,Ostabalo,Treatment for patients with osteoporosis at high risk of fracture,no,Treatment for patients with osteoporosis at high risk of fracture,Teijin Pharma Limited,Teijin,Not reported,Abaloparatide,no,no,aqueous injection,Not reported,NA
oral,30.11.2012,2012,authorised,approved,18.11.2013,2013,Neoplasms; Diseases of the respiratory system,000210320.pdf,Small molecule,Giotrif,EGFR mutation-positive inoperable or recurrent non-small cell lung cancer,no,EGFR mutation-positive inoperable or recurrent non-small cell lung cancer,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,Not reported,Afatinib Maleate,no,no,tablet,Not reported,NA
intramuscular,28.04.2023,2023,authorised,approved,27.11.2023,2023,Infectious and parasitic diseases,000269813.pdf,Vaccine,Kostaive,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Meiji Seika Pharma Co., Ltd.",Meiji,Not reported,Coronavirus (SARS-CoV-2) RNA Vaccine,no,no,Lyophilized powder,Not reported,NA
intravenous,15.10.2019,2019,authorised,approved,26.02.2020,2020,Neoplasms,000237990.pdf,Small molecule,Steboronine,"Unresectable, locally advanced or locally recurrent head and neck cancer",no,Unresectable locally recurrent head and neck cancer; Unresectable advanced head and neck non-squamous cell carcinoma,Stella Pharma Corporation,Stella,Not reported,Borofalan,no,no,solution,Not reported,NA
intravenous,20.12.2007,2007,authorised,approved,21.10.2009,2009,Other,000153538.pdf,Small molecule,Bridion,Reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,no,Reversal of neuromuscular blockade induced by rocuronium bromide or vecuronium bromide,Schering-Plough K.K.,Schering-Plough,Not reported,Sugammadex Sodium,no,no,solution,Not reported,NA
oral,05.06.2020,2020,authorised,approved,28.04.2021,2021,Diseases of the circulatory system,000250274.pdf,Small molecule,Verquvo,Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),no,Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),"Bayer Yakuhin, Ltd.",Bayer,Not reported,Vericiguat,no,no,tablet,Not reported,NA
oral,07.01.2016,2016,authorised,approved,07.09.2016,2016,Diseases of the circulatory system,000222147.pdf,Small molecule,Uptravi,Pulmonary arterial hypertension,no,Pulmonary arterial hypertension,"Nippon Shinyaku Co., Ltd.",Nippon Shinyaku,Not reported,Selexipag,no,yes,tablet,Not reported,NA
subcutaneous,25.04.2016,2016,authorised,approved,24.11.2016,2016,"Diseases of the musculoskeletal system and connective tissue; Endocrine, nutritional, and metabolic diseases",000227995.pdf,Biologics,Ilaris,Cryopyrin-associated periodic syndromes; Familial Mediterranean fever refractory to conventional treatment; Tumor necrosis factor receptor-associated periodic syndrome; Hyperimmunoglobulin D syndrome (mevalonate kinase deficiency),yes,Not reported,Novartis Pharma K.K.,Novartis,Not reported,Canakinumab,yes,yes,Lyophilized injection,Not reported,Not reported
intravenous,25.07.2014,2014,authorised,approved,05.03.2015,2015,Neoplasms; Diseases of the digestive system,000219876.pdf,Biologics,Cyramza,Unresectable advanced/recurrent gastric cancer,no,Unresectable advanced/recurrent gastric cancer,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Ramucirumab,no,no,injection,Not reported,NA
intravenous,17.10.2017,2017,authorised,approved,29.08.2018,2018,Diseases of the blood and blood-forming organs,000229786.pdf,Biologics,Jivi,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,no,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Damoctocog Alfa Pegol,no,no,Lyophilized powder,Not reported,NA
oral,17.05.2013,2013,authorised,approved,29.11.2013,2013,Diseases of the circulatory system,000207309.pdf,Small molecule,Adempas,Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,no,Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Riociguat,no,yes,tablet,Not reported,NA
oral,31.05.2017,2017,authorised,approved,27.04.2018,2018,Diseases of the digestive system,000237584.pdf,Small molecule,Xeljanz,Induction and maintenance of remission in patients with moderately to severely active ulcerative colitis (only patients who have not adequately responded to conventional treatments),yes,Rheumatoid arthritis in patients who have not adequately responded to conventional treatments; Induction and maintenance of remission in patients with moderate to severe ulcerative colitis (only patients who have not adequately responded to conventional treatments),Pfizer Japan Inc.,Pfizer,Not reported,Tofacitinib Citrate,yes,no,tablet,Not reported,Not reported
intramuscular,29.06.2018,2018,authorised,approved,21.02.2019,2019,Diseases of the blood and blood-forming organs; Congenital malformations and chromosomal abnormalities,000235387.pdf,Peptides and proteins,Revcovi,Adenosine deaminase deficiency,no,Adenosine deaminase deficiency,Teijin Pharma Limited,Teijin,Not reported,Elapegademase,no,yes,injection,Not reported,NA
intravitreal,28.08.2014,2014,authorised,approved,15.05.2015,2015,Diseases of the eye and adnexa,000216947.pdf,Biologics,Eylea,Age-related macular degeneration with subfoveal choroidal neovascularization; Macular edema secondary to central retinal vein occlusion; Choroidal neovascularization in pathologic myopia; Diabetic macular edema,yes,Age-related macular degeneration with subfoveal choroidal neovascularization; Macular edema secondary to central retinal vein occlusion,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Aflibercept,yes,no,solution,Not reported,Not reported
oral,30.07.2020,2020,authorised,approved,22.02.2021,2021,Neoplasms,000246143.pdf,Small molecule,Lenvima,"Unresectable thyroid cancer, unresectable hepatocellular carcinoma, unresectable thymic carcinoma",yes,Unresectable thymic carcinoma,"Eisai Co., Ltd.",Eisai,Not reported,Lenvatinib Mesilate,yes,yes,capsule,Not reported,Not reported
inhalation,04.09.2018,2018,authorised,approved,30.05.2019,2019,Diseases of the respiratory system,000240532.pdf,Small molecule,Breztri Aerosphere,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) (requiring a combination therapy with an inhaled corticosteroid, an inhaled long-acting muscarinic antagonist, and an inhaled long-acting beta2 agonist)",no,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) (requiring a combination therapy with an inhaled corticosteroid, an inhaled long-acting muscarinic antagonist, and an inhaled long-acting beta2 agonist)",AstraZeneca K.K.,AstraZeneca,Not reported,Budesonide/ Glycopyrronium Bromide /Formoterol Fumarate Hydrate,no,no,aerosol,Not reported,NA
Not reported,01.10.2015,2015,authorised,approved,04.08.2016,2016,Diseases of the musculoskeletal system and connective tissue,000223081.pdf,Peptides and proteins,Regroth Dental Kit,Alveolar bone defect due to periodontitis,no,Regeneration of periodontal tissues destroyed by periodontitis,"Kaken Pharmaceutical Co., Ltd.",Kaken,Not reported,Trafermin,yes,no,Lyophilized product,Not reported,Not reported
oral,07.03.2014,2014,authorised,approved,30.01.2015,2015,"Endocrine, nutritional, and metabolic diseases",000213963.pdf,Small molecule,Zafatek,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Trelagliptin Succinate,no,no,tablet,Not reported,NA
intravenous,29.09.2017,2017,authorised,approved,13.04.2018,2018,Neoplasms,000232985.pdf,Biologics,Yervoy,Unresectable malignant melanoma,no,Unresectable malignant melanoma,Bristol-Meyers Squibb K.K.,Bristol-Meyers Squibb,Not reported,Ipilimumab,no,yes,Injection,Not reported,NA
oral,05.07.2012,2012,authorised,approved,13.03.2013,2013,Neoplasms; Diseases of the nervous system,000153482.pdf,Small molecule,Alabel,Visualization of malignant tissue during surgical resection of malignant glioma,no,Visualization of malignant tissue during surgical resection of malignant glioma,"Nobelpharma Co., Ltd.; SBI Pharmaceuticals Co., Ltd.","Nobel  
SBI",Not reported,Aminolevulinic Acid Hydrochloride,yes,yes,lyophilized preparation,Not reported,Not reported
oral,10.02.2022,2022,authorised,approved,05.07.2023,2023,Neoplasms; Diseases of the genitourinary system,000269956.pdf,Small molecule,Lynparza,Treatment of BRCA mutation-positive metastatic castration-resistant prostate cancer,yes,Treatment of BRCA mutation-positive metastatic castration-resistant prostate cancer,AstraZeneca K.K.,AstraZeneca,Not reported,Olaparib,yes,no,tablet,Not reported,Not reported
oral,21.08.2015,2015,authorised,approved,26.02.2016,2016,Neoplasms; Diseases of the respiratory system,000220615.pdf,Small molecule,Tagrisso,Inoperable or recurrent EGFR T790M mutation-positive non-small cell lung cancer resistant to EGFR tyrosine kinase inhibitors,no,"Unresectable, advanced or recurrent EGFR T790M mutation-positive non-small cell lung cancer that progressed during or after EGFR tyrosine kinase inhibitor treatment",AstraZeneca K.K.,AstraZeneca,Not reported,Osimertinib Mesilate,no,no,tablet,Not reported,NA
subcutaneous,22.05.2015,2015,authorised,approved,26.02.2016,2016,Diseases of the respiratory system,000221523.pdf,Biologics,Nucala,Bronchial asthma (only for patients with refractory asthma whose symptoms cannot be controlled by conventional treatment),no,Bronchial asthma (severe eosinophilic asthma with exacerbation despite conventional treatment),GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Mepolizumab,no,no,Lyophilized powder,Not reported,NA
oral,30.09.2020,2020,authorised,approved,28.05.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,000250457.pdf,Small molecule,Hiyasta,Relapsed or refractory adult T-cell leukemia/lymphoma,no,Relapsed or refractory adult T-cell leukemia/lymphoma,Huya Japan G.K.,Huya,Not reported,Tucidinostat,no,yes,tablet,Not reported,NA
oral,30.03.2012,2012,authorised,approved,08.03.2013,2013,Diseases of the nervous system,000153870.pdf,Small molecule,Nouriast,Improvement of the “wearing-off” phenomenon in patients with Parkinson’s disease on levodopa-containing preparations,no,Patients with Parkinson’s disease on levodopa-containing preparations with motor complications,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Istradefylline,no,no,tablet,Not reported,NA
oral,26.06.2014,2014,authorised,approved,21.01.2015,2015,"Neoplasms; Endocrine, nutritional, and metabolic diseases",000210264.pdf,Small molecule,Lenvima,Unresectable thyroid cancer,no,Thyroid cancer,"Eisai Co., Ltd.",Eisai,Not reported,Lenvatinib Mesilate,no,yes,capsule,Not reported,NA
intravenous,22.05.2015,2015,authorised,approved,24.02.2016,2016,"Endocrine, nutritional, and metabolic diseases",000219254.pdf,Biologics,Kanuma,"Lysosomal acid lipase deficiency (cholesteryl ester storage disease, Wolman disease)",no,Lysosomal acid lipase deficiency,Synageva BioPharma Japan K.K. (a predecessor of Alexion Pharma Godo Kaisha),Synageva,Not reported,Sebelipase Alfa,no,yes,injection,Not reported,NA
intravenous,29.09.2017,2017,authorised,approved,13.04.2018,2018,Neoplasms; Diseases of the respiratory system; Diseases of the genitourinary system; Diseases of the blood and blood-forming organs,000232984.pdf,Biologics,Opdivo,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer; Treatment of unresectable or metastatic renal cell carcinoma; Treatment of relapsed or refractory classical Hodgkin lymphoma; Treatment of recurrent or distant metastatic head and neck cancer; Treatment of unresectable, advanced or recurrent gastric cancer that has progressed after cancer chemotherapy",yes,Treatment of unresectable malignant melanoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,yes,Injection,Not reported,Not reported
subcutaneous,27.01.2012,2012,authorised,approved,20.07.2012,2012,Infectious and parasitic diseases,000153291.pdf,Vaccine,Quattrovac,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",no,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),Kaketsuken,Not reported,Adsorbed Diphtheria-Purified Pertussis-Tetanus-Inactivated Polio (Sabin strain) Combined Vaccine,yes,no,suspension,Not reported,Not reported
cutaneous,20.10.2017,2017,authorised,approved,01.03.2018,2018,Neoplasms; Diseases of the skin,000225368.pdf,Small molecule,Rapalimus,Tuberous sclerosis complex-associated skin lesions,no,Tuberous sclerosis complex-associated skin lesions,"Nobelpharma Co., Ltd.",Nobel,Not reported,Sirolimus,no,yes,gel,Not reported,NA
