Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,30.03.2012,2012,authorised,PMDA,approved,08.03.2013,2013,Diseases of the nervous system,000153870.pdf,Small molecule,Nouriast,Improvement of the “wearing-off” phenomenon in patients with Parkinson’s disease on levodopa-containing preparations,<Parkinson Disease>,no,Patients with Parkinson’s disease on levodopa-containing preparations with motor complications,<Parkinson Disease>,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,000153870,Istradefylline,no,no,tablet,Not reported,NA
oral,26.06.2014,2014,authorised,PMDA,approved,21.01.2015,2015,"Neoplasms; Endocrine, nutritional, and metabolic diseases",000210264.pdf,Small molecule,Lenvima,Unresectable thyroid cancer,<Thyroid Neoplasms>,no,Thyroid cancer,<Thyroid Neoplasms>,"Eisai Co., Ltd.",Eisai,000210264,Lenvatinib Mesilate,no,yes,capsule,Not reported,NA
intravenous,22.05.2015,2015,authorised,PMDA,approved,24.02.2016,2016,"Endocrine, nutritional, and metabolic diseases",000219254.pdf,Biologics,Kanuma,"Lysosomal acid lipase deficiency (cholesteryl ester storage disease, Wolman disease)",<Lysosomal Storage Diseases>,no,Lysosomal acid lipase deficiency,<Lysosomal Storage Diseases>,Synageva BioPharma Japan K.K. (a predecessor of Alexion Pharma Godo Kaisha),Synageva,000219254,Sebelipase Alfa,no,yes,injection,Not reported,NA
intravenous,29.09.2017,2017,authorised,PMDA,approved,13.04.2018,2018,Neoplasms; Diseases of the respiratory system; Diseases of the genitourinary system; Diseases of the blood and blood-forming organs,000232984.pdf,Biologics,Opdivo,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer; Treatment of unresectable or metastatic renal cell carcinoma; Treatment of relapsed or refractory classical Hodgkin lymphoma; Treatment of recurrent or distant metastatic head and neck cancer; Treatment of unresectable, advanced or recurrent gastric cancer that has progressed after cancer chemotherapy","<Melanoma>; <Lung Neoplasms>; <Carcinoma, Renal Cell>; <Hodgkin Disease>; <Head and Neck Neoplasms>; <Stomach Neoplasms>",yes,Treatment of unresectable malignant melanoma,<Melanoma>,"Ono Pharmaceutical Co., Ltd.",Ono,000232984,Nivolumab,yes,yes,Injection,Not reported,Not reported
subcutaneous,27.01.2012,2012,authorised,PMDA,approved,20.07.2012,2012,Infectious and parasitic diseases,000153291.pdf,Vaccine,Quattrovac,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<Pertussis>; <Diphtheria>; <Tetanus>; <Poliomyelitis>,no,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<Pertussis>; <Diphtheria>; <Tetanus>; <Poliomyelitis>,The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),KAKETSUKEN,000153291,Adsorbed Diphtheria-Purified Pertussis-Tetanus-Inactivated Polio (Sabin strain) Combined Vaccine,yes,no,suspension,Not reported,Not reported
cutaneous,20.10.2017,2017,authorised,PMDA,approved,01.03.2018,2018,Neoplasms; Diseases of the skin,000225368.pdf,Small molecule,Rapalimus,Tuberous sclerosis complex-associated skin lesions,<Tuberous Sclerosis>,no,Tuberous sclerosis complex-associated skin lesions,<Tuberous Sclerosis>,"Nobelpharma Co., Ltd.",Nobel,000225368,Sirolimus,no,yes,gel,Not reported,NA
intravenous,23.02.2016,2016,authorised,PMDA,approved,07.09.2016,2016,Diseases of the circulatory system,000222407.pdf,Biologics,Prizbind,Reversal of the anticoagulant effects of dabigatran,Not Reported,no,Reversal of the anticoagulant effects of dabigatran,<Not Reported>,Nippon Boehringer Ingelheim Co. Ltd.,Boehringer Ingelheim,000222407,Idarucizumab,no,no,solution,Not reported,NA
intravenous,22.03.2013,2013,authorised,PMDA,approved,18.11.2013,2013,Neoplasms; Diseases of the blood and blood-forming organs,000229787.pdf,Biologics,Adcetris,"The following relapsed or refractory CD30-positive diseases: Hodgkin’s lymphoma, anaplastic large-cell lymphoma","<Hodgkin Disease>; <Lymphoma, Large-Cell, Anaplastic>",no,"The following relapsed or refractory CD30-positive diseases: Hodgkin’s lymphoma, anaplastic large-cell lymphoma","<Hodgkin Disease>; <Lymphoma, Large-Cell, Anaplastic>",Takeda Pharmaceutical Company Limited,Takeda,000229787,Brentuximab Vedotin,no,yes,Powder,Not reported,NA
intravenous,26.05.2015,2015,authorised,PMDA,approved,25.04.2016,2016,Neoplasms; Diseases of the digestive system,000219877.pdf,Biologics,Cyramza,Unresectable advanced/recurrent gastric cancer; Unresectable advanced/recurrent colorectal cancer,<Gastric Neoplasms>; <Colorectal Neoplasms>,yes,Unresectable advanced/recurrent gastric cancer; Unresectable advanced/recurrent colorectal cancer,<Gastric Neoplasms>; <Colorectal Neoplasms>,Eli Lilly Japan K.K.,Eli Lilly,000219877,Ramucirumab,yes,no,Injection,Not reported,Not reported
oral,17.11.2017,2017,authorised,PMDA,approved,11.05.2018,2018,Neoplasms; Diseases of the respiratory system,000237220.pdf,Small molecule,Tafinlar,Unresectable Malignant melanoma with BRAF mutations; Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Melanoma>; <Lung Neoplasms>,yes,Unresectable Malignant melanoma with BRAF mutations,<Melanoma>,Novartis Pharma K.K.,Novartis,000237220,Dabrafenib Mesilate,yes,yes,capsule,Not reported,Not reported
subcutaneous,21.02.2017,2017,authorised,PMDA,approved,06.11.2017,2017,Diseases of the skin,000235351.pdf,Biologics,Dupixent,Atopic dermatitis that have not responded adequately to conventional treatments,"<Dermatitis, Atopic>",no,Atopic dermatitis that have not responded adequately to conventional treatments,"<Dermatitis, Atopic>",Sanofi K.K.,Sanofi,000235351,Dupilumab,no,no,syringe,Not reported,NA
oral,12.12.2019,2019,authorised,PMDA,approved,28.05.2020,2020,Neoplasms; Diseases of the respiratory system,000238885.pdf,Small molecule,Tabrecta,MET exon 14 skipping mutation-positive unresectable advanced or recurrent non-small cell lung cancer,<Non-Small Cell Lung Cancer>,no,MET mutation-positive unresectable advanced or recurrent non-small cell lung cancer,<Non-Small Cell Lung Carcinoma>,Novartis Pharma K.K.,Novartis,000238885,Capmatinib Hydrochloride Hydrate,no,yes,tablet,Not reported,NA
intravenous,26.04.2011,2011,authorised,PMDA,approved,01.02.2012,2012,Neoplasms; Diseases of the blood and blood-forming organs,000153052.pdf,Biologics,Poteligeo,Relapsed or refractory CCR4-positive adult T-cell leukemia lymphoma,<Adult T-Cell Leukemia-Lymphoma>,no,Recurrent/relapsed CCR4-positive adult T-cell leukemia lymphoma,<Adult T-Cell Leukemia-Lymphoma>,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,000153052,Mogamulizumab,no,yes,solution,Not reported,NA
intramuscular,18.12.2020,2020,authorised,PMDA,approved,12.02.2021,2021,Infectious and parasitic diseases,000243206.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,Pfizer Japan Inc.,Pfizer,000243206,Coronavirus Modified Uridine RNA Vaccine,no,no,injection,Not reported,NA
intravenous,17.12.2015,2015,authorised,PMDA,approved,09.09.2016,2016,Diseases of the blood and blood-forming organs,000221483.pdf,Biologics,Idelvion,Control of bleeding tendency in patients with blood coagulation factor IX deficiency,<Blood Coagulation Disorders>,no,Control of bleeding tendency in patients with blood coagulation factor IX deficiency,<Blood Coagulation Disorders>,CSL Behring K.K.,CSL Behring,000221483,Albutrepenonacog Alfa,no,no,lyophilized powder,Not reported,NA
intramuscular,09.06.2022,2022,authorised,PMDA,approved,29.08.2022,2022,Infectious and parasitic diseases,000250093.pdf,Biologics,Evusheld,Treatment and prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,no,Prevention and treatment of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2 Infections>,AstraZeneca K.K.,AstraZeneca,000250093,Tixagevimab and Cilgavimab,no,no,injection,Not reported,NA
Inhalation,17.10.2014,2014,authorised,PMDA,approved,03.08.2015,2015,Diseases of the respiratory system,000216005.pdf,Small molecule,Spiolto Respimat,Relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema) who require combination therapy with a long-acting inhaled anticholinergic agent and a long-acting inhaled β2-agonist.,<Chronic Obstructive Pulmonary Disease>,no,"Relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD, i.e., chronic bronchitis and emphysema)",<Chronic Obstructive Pulmonary Disease>,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,000216005,Tiotropium Bromide Hydrate/Olodaterol Hydrochloride,no,no,solution,Not reported,NA
inhalation,07.09.2018,2018,authorised,PMDA,approved,30.05.2019,2019,Diseases of the respiratory system,000240531.pdf,Small molecule,Bevespi Aerosphere,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) secondary to airway obstructive disorder",<Chronic Obstructive Pulmonary Disease>,no,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) secondary to airway obstructive disorder",<Chronic Obstructive Pulmonary Disease>,AstraZeneca K.K.,AstraZeneca,000240531,Glycopyrronium Bromide /Formoterol Fumarate Hydrate,no,no,aerosol,Not reported,NA
oral,31.01.2020,2020,authorised,PMDA,approved,30.10.2020,2020,Diseases of the blood and blood-forming organs,000242285.pdf,Small molecule,Orladeyo,Prevention of acute attacks of hereditary angioedema,"<Angioedema, Hereditary>",no,Prevention of acute attacks of hereditary angioedema,"<Angioedema, Hereditary>","OrphanPacific, Inc.",OrphanPacific,000242285,Berotralstat,no,yes,capsule,Not reported,NA
oral,28.07.2022,2022,authorised,PMDA,approved,29.05.2023,2023,Neoplasms; Diseases of the digestive system,000267944.pdf,Small molecule,Lytgobi,Unresectable FGFR2 gene fusion-positive biliary tract cancer that has progressed after cancer chemotherapy,<Biliary Tract Neoplasms>,no,"Previously treated, locally advanced or metastatic biliary tract cancer harboring FGFR2 gene fusion or other rearrangements",<Biliary Tract Neoplasms>,"Taiho Pharmaceutical Co., Ltd.",Taiho,000267944,Futibatinib,no,no,tablet,Not reported,NA
intramuscular,30.06.2017,2017,authorised,PMDA,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases",000234111.pdf,Peptides and proteins,Signifor,Treatment of Cushing’s disease (who have had an inadequate response to surgery or for whom surgery is not an option),<Cushing Syndrome>,yes,Treatment of Cushing’s disease,<Cushing Syndrome>,Novartis Pharma K.K.,Novartis,000234111,Pasireotide,yes,yes,Powder,Not reported,Not reported
intramuscular; subcutaneous,30.01.2007,2007,authorised,PMDA,approved,31.08.2007,2007,Infectious and parasitic diseases; Diseases of the respiratory system,000153640.pdf,Vaccine,Adsorbed Influenza Vaccine,Prophylaxis of pandemic influenza (H5N1),<Influenza>,no,Prophylaxis of pandemic influenza (H5N1),<Influenza>,The Research Foundation for Microbial Diseases of Osaka University,Osaka University,000153640,Adsorbed Influenza Vaccine,yes,yes,suspension,Not reported,Not reported
subcutaneous,30.07.2015,2015,authorised,PMDA,approved,30.05.2016,2016,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000219040.pdf,Biologics,Lumicef,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",<Psoriasis>; <Psoriatic Arthritis>,no,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies","<Psoriasis>; <Arthritis, Psoriatic>","Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,000219040,Brodalumab,no,no,solution,Not reported,NA
subcutaneous,22.12.2011,2011,authorised,PMDA,approved,31.08.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153683.pdf,Peptides and proteins,Tresiba,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,no,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000153683,Insulin Degludec,no,no,solution,Not reported,NA
Oral,28.06.2017,2017,authorised,PMDA,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases",000233695.pdf,Small molecule,Galafold,Treatment of Fabry disease with migalastat-responsive GLA mutations,<Fabry Disease>,no,Treatment of Fabry disease with migalastat-responsive GLA mutations,<Fabry Disease>,"Amicus Therapeutics, Inc.",Amicus,000233695,Migalastat,no,yes,Capsule,Not reported,NA
oral,28.12.2021,2021,authorised,PMDA,approved,29.08.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,000269997.pdf,Small molecule,Ezharmia,Relapsed or refractory adult T-cell leukemia-lymphoma,<Adult T-Cell Leukemia-Lymphoma>,no,Relapsed or refractory adult T-cell leukemia-lymphoma,<Adult T-Cell Leukemia-Lymphoma>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000269997,Valemetostat Tosilate,no,yes,tablet,Not reported,NA
subcutaneous,03.03.2023,2023,authorised,PMDA,approved,27.11.2023,2023,Diseases of the skin,000270578.pdf,Biologics,Ebglyss,Atopic dermatitis not responding adequately to conventional treatments,"<Dermatitis, Atopic>",no,Atopic dermatitis not responding adequately to conventional treatments,"<Dermatitis, Atopic>",Eli Lilly Japan K.K.,Eli Lilly,000270578,Lebrikizumab,no,no,injection,Not reported,NA
intravenous,30.06.2006,2006,authorised,PMDA,approved,31.01.2007,2007,"Endocrine, nutritional, and metabolic diseases",000153325.pdf,Biologics,Myozyme,Type II glycogen storage disease,<Glycogen Storage Disease Type II>,no,Type II glycogen storage disease,<Glycogen Storage Disease Type II>,Genzyme Japan K.K.,Genzyme,000153325,Alglucosidase Alfa,no,yes,formulation,Not reported,NA
intravenous,26.08.2015,2015,authorised,PMDA,approved,25.04.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000224115.pdf,Small molecule,Kyprolis,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,no,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,"Ono Pharmaceutical Co., Ltd.",Ono,000224115,Carfilzomib,no,yes,Powder,Not reported,NA
oral,25.10.2017,2017,authorised,PMDA,approved,02.02.2018,2018,Infectious and parasitic diseases; Diseases of the respiratory system,000225380.pdf,Small molecule,Xofluza,Influenza A or B virus infection,<Influenza>,no,Influenza A or B virus infection,<Influenza>,"Shionogi & Co., Ltd.",Shionogi,000225380,Baloxavir Marboxil,no,no,tablet,Not reported,NA
oral,25.12.2020,2020,authorised,PMDA,approved,21.04.2021,2021,Infectious and parasitic diseases; Diseases of the respiratory system,000243207.pdf,Small molecule,Olumiant,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),<Pneumonia>; <COVID-19>,yes,Disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,Eli Lilly Japan K.K.,Eli Lilly,000243207,Baricitinib,yes,no,tablet,Not reported,Not reported
intravenous,28.04.2006,2006,authorised,PMDA,approved,30.01.2008,2008,Diseases of the musculoskeletal system and connective tissue; Neoplasms,000153709.pdf,Biologics,Actemra,Rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis; Castleman's disease,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Castleman Disease>",yes,Rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>","Chugai Pharmaceutical Co., Ltd.",Chugai,000153709,Tocilizumab,no,no,concentrate,Not reported,NA
intravenous,16.08.2023,2023,authorised,PMDA,approved,29.02.2024,2024,Diseases of the blood and blood-forming organs,000272019.pdf,Biologics,Adzynma,Congenital thrombotic thrombocytopenic purpura,<Thrombotic Thrombocytopenic Purpura>,no,Congenital thrombotic thrombocytopenic purpura,<Thrombotic Thrombocytopenic Purpura>,Takeda Pharmaceutical Company Limited,Takeda,000272019,Apadamtase Alfa,no,yes,Lyophilized powder,Not reported,NA
oral,07.01.2019,2019,authorised,PMDA,approved,21.05.2020,2020,Diseases of the nervous system,000241414.pdf,Small molecule,Mayzent,Prevention of relapsing secondary progressive multiple sclerosis and delay in the progression of associated physical disability,"<Multiple Sclerosis, Relapsing-Remitting>",no,Prevention of relapsing secondary progressive multiple sclerosis and delay in the progression of associated physical disability,"<Multiple Sclerosis, Relapsing-Remitting>",Novartis Pharma K.K.,Novartis,000241414,Siponimod,no,yes,tablet,Not reported,NA
intravenous,14.12.2018,2018,authorised,PMDA,approved,06.06.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240736.pdf,Biologics,Darzalex,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,yes,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,Janssen Pharmaceutical K.K.,Janssen,000240736,Daratumumab,yes,yes,solution,Not reported,Not reported
Oral,07.03.2019,2019,authorised,PMDA,approved,29.11.2019,2019,Mental and behavioural disorders,000236878.pdf,Small molecule,Dayvigo,Insomnia,<Insomnia>,no,Insomnia,<Insomnia>,"Eisai Co., Ltd.",Eisai,000236878,Lemborexant,no,no,Tablet,Not reported,NA
oral,19.10.2015,2015,authorised,PMDA,approved,09.06.2017,2017,"Endocrine, nutritional, and metabolic diseases",000226672.pdf,Small molecule,Parmodia,Hyperlipidemia (including familial hyperlipidemia),<Hyperlipidemias>,no,Hyperlipidemia (including familial hyperlipidemia),<Hyperlipidemias>,"Kowa Company, Ltd.",Kowa,000226672,Pemafibrate,no,no,tablet,Not reported,NA
Oral,24.10.2019,2019,authorised,PMDA,approved,20.05.2020,2020,Diseases of the respiratory system,000243773.pdf,Small molecule,Ofev,Idiopathic pulmonary fibrosis; Systemic sclerosis-associated interstitial lung disease; Progressive fibrosing interstitial lung disease,<Idiopathic Pulmonary Fibrosis>; <Systemic Sclerosis>; <Interstitial Lung Diseases>,yes,Progressive fibrosing interstitial lung disease,<Interstitial Lung Diseases>,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,000243773,Nintedanib,yes,no,capsule,Not reported,Not reported
Oral,29.07.2020,2020,authorised,PMDA,approved,25.02.2021,2021,Diseases of the circulatory system,000248791.pdf,Small molecule,Volibris,Pulmonary arterial hypertension,<Pulmonary Hypertension>,yes,Pulmonary arterial hypertension,<Pulmonary Hypertension>,GlaxoSmithKline K.K.,GlaxoSmithKline,000248791,Ambrisentan,yes,yes,Tablet,Not reported,Not reported
oral,04.07.2016,2016,authorised,PMDA,approved,03.03.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000225743.pdf,Small molecule,Ninlaro,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,no,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,Takeda Pharmaceutical Company Limited,Takeda,000225743,Ixazomib Citrate,no,yes,capsule,Not reported,NA
intravenous,09.09.2019,2019,authorised,PMDA,approved,26.02.2020,2020,Neoplasms,000238706.pdf,Biologics,Enhertu,Unresectable or recurrent HER2-positive breast cancer previously treated with chemotherapy,<Breast Neoplasms>,no,Unresectable or recurrent HER2-positive breast cancer previously treated with trastuzumab emtansine,<Breast Neoplasms>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000238706,Trastuzumab Deruxtecan,no,no,injection,Not reported,NA
intramuscular,10.08.2022,2022,authorised,PMDA,approved,06.09.2022,2022,Infectious and parasitic diseases,000249128.pdf,Vaccine,Spikevax,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2>,"Moderna Japan Co., Ltd.",Moderna,000249128,Coronavirus Modified Uridine RNA Vaccine,no,no,suspension,Not reported,NA
Inhalation,15.11.2012,2012,authorised,PMDA,approved,18.11.2013,2013,Infectious and parasitic diseases,000211431.pdf,Small molecule,Inavir,Treatment and prophylaxis of influenza A or B virus infection,<Influenza>,yes,Treatment and prophylaxis of influenza A or B virus infection,<Influenza>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000211431,Laninamivir Octanoate Hydrate,yes,no,powder,Not reported,Not reported
oral,12.03.2007,2007,authorised,PMDA,approved,29.08.2008,2008,Diseases of the respiratory system,000153687.pdf,Small molecule,Pirespa,idiopathic pulmonary fibrosis,<Idiopathic Pulmonary Fibrosis>,no,idiopathic pulmonary fibrosis,<Idiopathic Pulmonary Fibrosis>,"Shionogi & Co., Ltd.",Shionogi,000153687,Pirfenidone,no,yes,tablet,Not reported,NA
oral,28.05.2020,2020,authorised,PMDA,approved,25.02.2021,2021,Mental and behavioural disorders,000248223.pdf,Small molecule,Lonasen,Schizophrenia,<Schizophrenia>,yes,Schizophrenia,<Schizophrenia>,"Sumitomo Dainippon Pharma Co., Ltd.",Sumitomo Dainippon,000248223,Blonanserin,yes,no,tablet,Not reported,Not reported
oral,11.01.2018,2018,authorised,PMDA,approved,03.12.2018,2018,"Endocrine, nutritional, and metabolic diseases",000230401.pdf,Small molecule,Suglat,Type 1 diabetes mellitus,<Type 1 Diabetes Mellitus>,yes,Type 1 diabetes mellitus,<Type 1 Diabetes Mellitus>,Astellas Pharma Inc.,Astellas,000230401,Ipragliflozin,yes,no,tablet,Not reported,Not reported
oral,27.11.2018,2018,authorised,PMDA,approved,11.12.2020,2020,"Neoplasms; Endocrine, nutritional, and metabolic diseases",000242929.pdf,Small molecule,Adlumiz,Cancer cachexia,<Cachexia>,no,Improvement in body weight loss and anorexia in cancer cachexia,<Cachexia>,"Ono Pharmaceutical Co., Ltd.",Ono,000242929,Anamorelin Hydrochloride,no,no,tablet,Not reported,NA
oral,28.02.2018,2018,authorised,PMDA,approved,03.12.2018,2018,Neoplasms; Diseases of the genitourinary system,000236064.pdf,Small molecule,Relumina,"Relief of symptoms associated with uterine fibroids: menorrhagia, lower abdominal pain, lumbar pain, and anemia.",<Uterine Fibroids>,no,"Relief of symptoms associated with uterine fibroids: menorrhagia, lower abdominal pain, lumbar pain, and anemia.",<Uterine Fibroids>,Takeda Pharmaceutical Company Limited,Takeda,000236064,Relugolix,no,no,tablet,Not reported,NA
intravenous,28.04.2020,2020,authorised,PMDA,approved,20.08.2020,2020,Neoplasms; Diseases of the digestive system,000238707.pdf,Biologics,Enhertu,Unresectable advanced or recurrent HER2-positive gastric cancer that has progressed after cancer chemotherapy,<Gastric Cancer>,yes,Unresectable advanced or recurrent HER2-positive gastric cancer that has progressed after cancer chemotherapy,<Stomach Neoplasms>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000238707,Trastuzumab Deruxtecan,yes,no,Injection,Not reported,Not reported
subcutaneous,27.07.2012,2012,authorised,PMDA,approved,08.03.2013,2013,"Endocrine, nutritional, and metabolic diseases",000153334.pdf,Peptides and proteins,Metreleptin,Lipodystrophy,<Adiposity>,no,Improvement of hyperglycemia and hypertriglyceridemia in lipodystrophy,<Hyperglycemia>; <Hypertriglyceridemia>; <Lipodystrophy>,"Shionogi & Co., Ltd.",Shionogi,000153334,Metreleptin,yes,yes,solution,Not reported,Not reported
oral,05.12.2013,2013,authorised,PMDA,approved,28.02.2014,2014,Infectious and parasitic diseases,000209096.pdf,Small molecule,Tivicay,HIV infectious disease,<Acquired Immunodeficiency Syndrome>,no,HIV infectious disease,<Acquired Immunodeficiency Syndrome>,ViiV Healthcare K.K.,ViiV,000209096,Dolutegravir Sodium,no,yes,tablet,Not reported,NA
oral,24.04.2023,2023,authorised,PMDA,approved,08.12.2023,2023,Neoplasms; Diseases of the circulatory system,000271105.pdf,Small molecule,Rapalimus,Refractory vascular tumors and refractory vascular malformations,<Refractory Vascular Tumors>; <Refractory Vascular Malformations>,yes,Refractory vascular tumors and refractory vascular malformations,<Neoplasms>; <Vascular Malformations>,"Nobelpharma Co., Ltd.",Nobel,000271105,Sirolimus,yes,yes,tablet,Not reported,Not reported
intravenous,28.03.2019,2019,authorised,PMDA,approved,09.01.2020,2020,Neoplasms; Diseases of the digestive system,000241165.pdf,Biologics,Opdivo,"Treatment of unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent esophageal cancer that has progressed after cancer chemotherapy",<Colorectal Neoplasms>; <Esophageal Neoplasms>,yes,"Treatment of unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent esophageal cancer that has progressed after cancer chemotherapy",<Colorectal Neoplasms>; <Esophageal Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000241165,Nivolumab,yes,no,Injection,Not reported,Not reported
oral,29.11.2019,2019,authorised,PMDA,approved,27.08.2020,2020,Diseases of the blood and blood-forming organs,000243772.pdf,Small molecule,Enaroy,Renal anemia,<Anemia>,no,Renal anemia,<Anemia>,Japan Tobacco Inc.,Japan Tobacco,000243772,Enarodustat,no,no,tablet,Not reported,NA
oral,31.10.2016,2016,authorised,PMDA,approved,22.05.2017,2017,Neoplasms; Diseases of the digestive system,000227545.pdf,Small molecule,Stivarga,Unresectable hepatocellular carcinoma progressed after cancer chemotherapy,<Hepatocellular Carcinoma>,yes,Unresectable hepatocellular carcinoma progressed after cancer chemotherapy,<Hepatocellular Carcinoma>,"Bayer Yakuhin, Ltd.",Bayer,000227545,Regorafenib,yes,no,tablet,Not reported,Not reported
intravenous; subcutaneous,14.12.2018,2018,authorised,PMDA,approved,Not reported,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240737.pdf,Small molecule,Velcade,Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,"<Multiple Myeloma>; <Lymphoma, Mantle-Cell>; <Waldenstrom Macroglobulinemia>; <Lymphoma, Lymphoplasmacytic>",yes,Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,"<Multiple Myeloma>; <Lymphoma, Mantle-Cell>; <Waldenstrom Macroglobulinemia>; <Lymphoma, Lymphoplasmacytic>",Janssen Pharmaceutical K.K.,Janssen,000240737,Bortezomib,yes,yes,Lyophilized powder,Not reported,Not reported
oral,28.03.2018,2018,authorised,PMDA,approved,30.01.2019,2019,Neoplasms,000239551.pdf,Small molecule,Erleada,Non-metastatic castration-resistant prostate cancer,<Prostatic Neoplasms>,no,Castration-resistant prostate cancer,<Prostatic Neoplasms>,Janssen Pharmaceutical K.K.,Janssen,000239551,Apalutamide,no,no,tablet,Not reported,NA
intravenous,13.11.2019,2019,authorised,PMDA,approved,29.06.2020,2020,Neoplasms; Diseases of the respiratory system,000243599.pdf,Biologics,Imfinzi,"Maintenance treatment of locally-advanced, unresectable non-small cell lung cancer following definitive chemoradiotherapy; Extensive-stage small cell lung cancer",<Non-Small Cell Lung Carcinoma>; <Small Cell Lung Carcinoma>,yes,Extensive-stage small cell lung cancer,<Lung Neoplasms>,AstraZeneca K.K.,AstraZeneca,000243599,Durvalumab,yes,no,injection,Not reported,Not reported
subcutaneous,09.03.2012,2012,authorised,PMDA,approved,30.11.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153726.pdf,Peptides and proteins,Ryzodeg,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,no,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000153726,Insulin Degludec/Insulin Aspart,no,no,solution,Not reported,NA
