Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,21.08.2019,2019,authorised,SWISSMEDIC,approved,18.03.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_sarclisa_final.pdf,Biologics,Sarclisa,"SARCLISA is indicated, in combination with pomalidomide and dexamethasone, for the treatment of adult patients with relapsed and refractory multiple myeloma (MM) who have received at least two prior lines of therapy including lenalidomide and a proteasome inhibitor (PI) and have demonstrated disease progression on the last therapy",<Multiple Myeloma>,no,"SARCLISA is indicated, in combination with pomalidomide and dexamethasone, for the treatment of patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor (PI).",<Multiple Myeloma>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,67525,isatuximab,yes,yes,concentrate,Not reported,NA
intravenous,30.06.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,25.11.2020,2020,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_veklury.pdf,Small molecule,Veklury,treatment of coronavirus disease 2019 (COVID-19) in adults with pneumonia requiring supplemental oxygen,<Coronavirus Infections>; <Pneumonia>,no,treatment of coronavirus disease 2019 (COVID-19) in adults and adolescents (aged 12 years and older with body weight at least 40 kg) with pneumonia requiring supplemental oxygen,<Coronavirus Infections>,Gilead Sciences Switzerland Sàrl,Gilead,68026,remdesivir,no,no,powder,Not reported,NA
oral,16.02.2021,2021,authorised,SWISSMEDIC,approved,19.05.2022,2022,Diseases of the nervous system,swisspar_ontozry_final.pdf,Small molecule,ONTOZRY,"Ontozry is indicated for the adjunctive treatment of focal-onset seizures with or without secondary generalisation in adult patients with epilepsy, which are not adequately controlled despite prior treatment with at least two anti-epileptic medicinal products.",<Epilepsy>,no,"Ontozry is indicated for the adjunctive treatment of focal-onset seizures with or without secondary generalisation in adult patients with epilepsy, which have not been adequately controlled despite a history of treatment with at least two anti-epileptic medicinal products.",<Epilepsy>,Arvelle Therapeutics International GmbH,Arvelle,68051,cenobamate,yes,no,tablet,EMEA/H/C/005377/0000,EMA/CHMP; US FDA
oral,21.03.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,17.01.2023,2023,Neoplasms,swisspar_nubeqa.pdf,Small molecule,Nubeqa,"NUBEQA, in combination with docetaxel and androgen deprivation therapy (ADT), is indicated for the treatment of adult patients with metastatic hormone-sensitive prostate cancer (mHSPC), for whom docetaxel therapy is indicated.",<Prostatic Neoplasms>,yes,Treatment of patients with metastatic hormone-sensitive prostate cancer (mHSPC) in combination with docetaxel.,<Prostatic Neoplasms>,Bayer (Schweiz) AG,Bayer,67521,darolutamid,no,no,tablet,Not reported,NA
intramuscular; subcutaneous,24.03.2020,2020,authorised,SWISSMEDIC,approved,21.07.2021,2021,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_efluelda_final.pdf,Vaccine,Efluelda,Efluelda is used for active immunisation of adults aged 65 years and older for prophylaxis of influenza caused by the two influenza A virus subtypes and the two influenza B virus subtypes contained in the vaccine.,<Influenza>,no,Efluelda is indicated for active immunisation in adults 65 years of age and older for the prevention of influenza disease,<Influenza>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,67704,"haemagglutininum influenzae A (H1N1), haemagglutininum influenzae A (H3N2), haemagglutininum influenzae B (Victoria), haemagglutininum influenzae B (Yamagata)",yes,no,suspension,Not reported,FDA
intravenous,12.06.2023,2023,authorised,SWISSMEDIC,approved,04.07.2024,2024,"Endocrine, nutritional, and metabolic diseases",swisspar_pombiliti.pdf,Biologics,Pombiliti,Pombiliti (cipaglucosidase alfa) is a long-term enzyme replacement therapy used in combination with the enzyme stabiliser miglustat for the treatment of adults with late-onset Pompe disease (acid α-glucosidase [GAA] deficiency).,<Pompe Disease>,no,Pombiliti (cipaglucosidase alfa) is a long-term enzyme replacement therapy used in combination with the enzyme stabiliser miglustat for the treatment of adults with late-onset Pompe disease (acid α-glucosidase [GAA] deficiency) (LOPD).,<Pompe Disease>,Amicus Therapeutics Switzerland GmbH,Amicus,67804,cipaglucosidase alfa,yes,yes,powder,Not reported,EMA
intravenous,02.08.2019,2019,authorised,SWISSMEDIC,approved,21.09.2020,2020,Diseases of the blood and blood-forming organs,swisspar_defitelio-1.pdf,Other,DEFITELIO,"treatment of severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT) therapy in adults and in adolescents, children and infants of 1 month of age and above",<Hepatic Veno-Occlusive Disease>,no,treatment of severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT),<Hepatic Veno-Occlusive Disease>,Clinipace AG,Clinipace,67667,defibrotide,yes,yes,concentrate,Not reported,"Health Canada, FDA and EMA"
oral,17.05.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,30.04.2024,2024,Diseases of the blood and blood-forming organs,swisspar_voydeya.pdf,Small molecule,Voydeya,"Voydeya is used as an add-on to ravulizumab or eculizumab for the treatment of clinically relevant extravascular haemolysis (EVH, as defined in current clinical guidelines) after at least 6 months of monotherapy with a C5 inhibitor in adult patients with paroxysmal nocturnal haemoglobinuria (PNH; see “Clinical efficacy”).",<Paroxysmal Nocturnal Hemoglobinuria>,no,Voydeya is indicated as an add-on to ravulizumab or eculizumab for the treatment of signs or symptoms of extravascular haemolysis (EVH) in adult patients with paroxysmal nocturnal haemoglobinuria (PNH).,<Paroxysmal Nocturnal Hemoglobinuria>,Alexion Pharma GmbH,Alexion,69301,danicopan,no,yes,tablet,Not reported,NA
intravenous,01.05.2020,2020,authorised,SWISSMEDIC,approved,11.10.2021,2021,Diseases of the nervous system,swisspar_vyepti.pdf,Biologics,Vyepti,"Prophylactic treatment of migraine in adults, if indicated.",<Migraine Disorders>,no,"Prophylactic treatment of migraine in adults, if indicated.",<Migraine Disorders>,Lundbeck (Schweiz) AG,Lundbeck,67995,eptinezumab,yes,no,concentrate,Not reported,FDA
oral,21.12.2020,2020,authorised,SWISSMEDIC,approved,19.08.2022,2022,Diseases of the digestive system,swisspar_zeposia_g102645659.pdf,Small molecule,Zeposia,"treatment of adult patients with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, lost response, or were intolerant to either conventional therapy or a biologic agent.",<Ulcerative Colitis>,yes,"treatment of adult patients with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, are no longer responding, or are intolerant to conventional therapy or treatment with a biologic agent.",<Ulcerative Colitis>,Bristol-Myers Squibb SA,Bristol-Myers Squibb,67046,ozanimod as ozanimod hydrochloride,no,no,capsule,Not reported,NA
oral,22.01.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,28.07.2020,2020,"Endocrine, nutritional, and metabolic diseases",swisspar-carbaglu-final.pdf,Small molecule,Carbaglu,hyperammonaemia due to N-acetylglutamate synthase primary deficiency; hyperammonaemia due to isovaleric acidaemia; hyperammonaemia due to methymalonic acidaemia; hyperammonaemia due to propionic acidaemia,<Hyperammonemia>; <Isovaleric Acidemia>; <Methylmalonic Acidemia>; <Propionic Acidemia>,no,Hyperammonaemia due to a primary deficiency of N-acetylglutamate synthase; Hyperammonaemia due to isovaleric acidaemia; Hyperammonaemia due to methylmalonic acidaemia; Hyperammonaemia due to propionic acidaemia,<Hyperammonemia>; <Isovaleric Acidemia>; <Methylmalonic Acidemia>; <Propionic Acidemia>,RECORDATI AG,Recordati,67376,acidum carglumicum,yes,yes,tablet,Not reported,"EMA, FDA, and TGA"
oral,27.11.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,07.10.2021,2021,Neoplasms; Diseases of the digestive system,swisspar-qinlock.pdf,Small molecule,Qinlock,"Treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Stromal Tumor>,no,"Treatment of adult patients with advanced gastrointestinal stromal tumors (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Stromal Tumors>,Deciphera Pharmaceuticals,Deciphera,68199,ripretinib,yes,yes,tablet,Not reported,FDA
oral,19.08.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,06.05.2021,2021,Diseases of the nervous system,swisspar_evrysdi.pdf,Small molecule,Evrysdi,Treatment of 5q-associated spinal muscular atrophy (SMA) in patients 2 months of age and older.,<Spinal Muscular Atrophy>,no,Treatment of spinal muscular atrophy (SMA).,<Spinal Muscular Atrophy>,Roche Pharma (Schweiz) AG,Roche,67251,Risdiplam,no,yes,powder,Not reported,NA
oral,02.12.2022,2022,authorised,SWISSMEDIC,approved,13.06.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_tibsovo.pdf,Small molecule,Tibsovo,"Acute myeloid leukaemia: Tibsovo, in combination with azacitidine, is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) with an isocitrate dehydrogenase-1 (IDH1) R132 mutation who are not eligible to receive intensive induction chemotherapy. Patients with acute promyelocytic leukaemia (APL) are excluded. Cholangiocarcinoma: Tibsovo monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an IDH1 R132 mutation whose disease has progressed after at least one line of systemic therapy.","<Leukemia, Myeloid, Acute>; <Cholangiocarcinoma>",no,"Tibsovo in combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) presenting an isocitrate dehydrogenase-1 (IDH1) R132 mutation, who do not fulfil the conditions to receive intensive induction chemotherapy; Tibsovo as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma presenting an IDH1 R132 mutation, who have previously been treated with at least one previous line of systemic treatment.","<Leukemia, Myeloid, Acute>; <Cholangiocarcinoma>",Servier (Suisse) SA,Servier,69077,ivosidenib,yes,yes,tablet,Not reported,CHMP
intravenous,06.05.2021,2021,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,14.01.2022,2022,Infectious and parasitic diseases,swisspar_xevudy_final.pdf,Biologics,XEVUDY,Xevudy is indicated for the treatment of confirmed coronavirus disease 2019 (COVID-19) in adults and adolescents (from the age of 12 years and with a body weight of at least 40 kg) who do not require oxygen therapy or hospitalisation for COVID-19 and who are at risk of developing a more severe COVID-19 course,<Coronavirus Infections>,no,For the treatment of patients with coronavirus disease 2019 (COVID-19) who do not require oxygen supplementation and who are at risk of progressing to severe COVID-19,<COVID-19>,GlaxoSmithKline AG,GlaxoSmithKline,68471,sotrovimab,yes,no,concentrate,Not reported,Therapeutic Goods Administration of Australia (TGA)
oral,24.05.2023,2023,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,30.11.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_jaypirca.pdf,Small molecule,Jaypirca,"Jaypirca as monotherapy is indicated for treatment of adult patients with recurrent or refractory mantle cell lymphoma (MCL), who have received at least 2 prior lines of systemic treatment, including an anti-CD20 antibody and a Bruton’s tyrosine kinase (BTK) inhibitor, and if the patients are not suitable for CAR T-cell therapy.",<Mantle Cell Lymphoma>,no,"Jaypirca is a kinase inhibitor indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least 2 lines of systemic therapy, including a BTK inhibitor, and when CAR T is not a treatment option.",<Mantle Cell Lymphoma>,Eli Lilly (Suisse) SA,Eli Lilly,68733,pirtobrutinib,yes,yes,tablet,Not reported,U.S. Food and Drug Administration (FDA)
oral,15.01.2024,2024,authorised (under additional monitoring),SWISSMEDIC,approved,24.09.2024,2024,Diseases of the nervous system,swisspar_skyclarys.pdf,Small molecule,Skyclarys,Skyclarys is indicated for the treatment of Friedreich's ataxia in adults and adolescents aged 16 years and older.,<Friedreich Ataxia>,no,Skyclarys is indicated for the treatment of Friedreich’s ataxia in adults and adolescents aged 16 years and older.,<Friedreich Ataxia>,Biogen Switzerland AG,Biogen,69610,omaveloxolon,yes,yes,capsule,Not reported,FDA
oral,25.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,19.03.2024,2024,Neoplasms,swisspar_truqap.pdf,Small molecule,Truqap,"Truqap is indicated in combination with fulvestrant for the treatment of adult female patients with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative locally advanced or metastatic breast cancer with one or more PIK3CA/AKT1/PTEN alterations following recurrence or progression on or after an endocrine-based regimen.",<Breast Neoplasms>,no,Capivasertib is indicated in combination with fulvestrant for the treatment of adult patients with HR-positive HER2-negative locally advanced or metastatic breast cancer following recurrence or progression on or after an endocrine-based regimen.,<Breast Neoplasms>,AstraZeneca AG,AstraZeneca,69300,capivasertib,no,no,tablet,Not reported,NA
subcutaneous,19.01.2023,2023,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,05.09.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_elrexfio_final-1.pdf,Biologics,Elrexfio,"Elrexfio is indicated as monotherapy for the treatment of relapsed or refractory multiple myeloma in adult patients whose multiple myeloma is refractory to at least one immunomodulatory agent, one proteasome inhibitor, and one anti-CD38 monoclonal antibody, and who have demonstrated disease progression on the last therapy.",<Multiple Myeloma>,no,"Elrexfio is indicated as monotherapy for the treatment of adult patients with relapsed or refractory multiple myeloma, who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody, and have demonstrated disease progression on the last therapy.",<Multiple Myeloma>,Pfizer AG,Pfizer,68646,elranatamab,yes,yes,solution,Not reported,NA
subcutaneous,27.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,05.02.2024,2024,Infectious and parasitic diseases; diseases of the digestive system,swisspar_hepcludex.pdf,Peptides and proteins,Hepcludex,Hepcludex is indicated for the treatment of chronic hepatitis delta virus (HDV) infection in adults with compensated liver disease.,<Chronic Hepatitis Delta>; <Liver Diseases>,no,Hepcludex is indicated for the treatment of chronic hepatitis delta virus (HDV) infection in adult patients with compensated liver disease.,<Chronic Hepatitis Delta>,Gilead Sciences Switzerland Sàrl,Gilead,68338,bulevirtide,no,yes,powder,Not reported,NA
oral,22.12.2021,2021,authorised,SWISSMEDIC,approved,12.12.2022,2022,Diseases of the nervous system,swisspar_evrysdi_final.pdf,Small molecule,Evrysdi,treatment of 5q-associated spinal muscular atrophy (SMA) in paediatric and adult patients,<Spinal Muscular Atrophy>,yes,treatment of 5q spinal muscular atrophy (SMA),<Spinal Muscular Atrophies of Childhood>,Roche Pharma (Schweiz) AG,Roche,67251,risdiplam,yes,yes,powder,Not reported,NA
oral,27.05.2019,2019,withdrawn,SWISSMEDIC,refused,22.09.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_daurismo-1.pdf,Small molecule,Daurismo,NA,Not Reported,no,"Daurismo is indicated, in combination with low-dose cytarabine, for the treatment of newly diagnosed de novo or secondary acute myeloid leukaemia (AML) in adult patients who are not candidates for standard induction chemotherapy.","<Leukemia, Myeloid, Acute>",Pfizer AG,Pfizer,67473,glasdegib,yes,yes,tablet,Not reported,FDA
oral,14.10.2019,2019,authorised,SWISSMEDIC,approved,04.05.2021,2021,Other,swisspar_palforzia_final.pdf,Other,PALFORZIA,PALFORZIA can be used to increase the peanut threshold dose tolerated without allergic reactions in patients aged 4 to 17 years with a confirmed diagnosis of clinically significant peanut allergy.,<Peanut Hypersensitivity>,no,Oral immunotherapy for patients with peanut allergy.,<Peanut Hypersensitivity>,Medius AG,Medius,67733,allergens of peanut (Arachis hypogaea),yes,no,powder,Not reported,European Medicines Agency (EMA)
oral,25.01.2019,2019,authorised,SWISSMEDIC,approved,28.05.2020,2020,"Endocrine, nutritional, and metabolic diseases",swisspar_triogen-final.pdf,Small molecule,Triogen,For the treatment of Wilson’s disease in patients intolerant of D-penicillamine therapy,<Wilson Disease>,no,For the treatment of copper storage disease (Wilson’s disease) in patients intolerant of D-penicillamine therapy,<Wilson Disease>,IDEOGEN AG,IDEOGEN,67431,trientini dihydrochloridum,yes,yes,capsule,Not reported,NA
oral,25.01.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,13.07.2021,2021,Neoplasms; Diseases of the digestive system,swisspar_pemazyre.pdf,Small molecule,Pemazyre,"PEMAZYRE is indicated as monotherapy for the treatment of adults with locally advanced, unresectable or metastatic cholangiocarcinoma with fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement, that has progressed after at least one line of systemic therapy.",<Cholangiocarcinoma>,no,PEMAZYRE is indicated as monotherapy for the treatment of adults with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that is relapsed or refractory after at least one line of systemic therapy.,<Cholangiocarcinoma>,Incyte Biosciences International,Incyte,68143,pemigatinib,yes,yes,tablet,Not reported,CHMP and US FDA
Subcutaneous; Intravenous,27.05.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,08.07.2021,2021,Diseases of the blood and blood-forming organs,swisspar_cablivi_indikationserweiterung.pdf,Biologics,Cablivi,"Treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",<Thrombotic Thrombocytopenic Purpura>,yes,"Treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",<Thrombotic Thrombocytopenic Purpura>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,66792,caplacizumab,yes,yes,Powder; solvent,Not reported,NA
intravenous,15.05.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,20.01.2020,2020,Diseases of the blood and blood-forming organs,swisspar_ultomiris__.pdf,Biologics,Ultomiris,Ultomiris is used in the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH): - in patients with haemolysis with one or more clinical symptom(s) indicative of high disease activity - in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months,<Paroxysmal Nocturnal Hemoglobinuria>,no,Ultomiris is used in the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH): - in patients with haemolysis with one or more clinical symptom(s) indicative of high disease activity - in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months,<Paroxysmal Nocturnal Hemoglobinuria>,Alexion Pharma GmbH,Alexion,67278,ravulizumabum,yes,yes,concentrate,Not reported,European Medicines Agency EMA
oral,03.08.2021,2021,authorised,SWISSMEDIC,approved,02.02.2023,2023,Neoplasms; Diseases of the genitourinary system,swisspar_ryeqo_final.pdf,Small molecule,Ryeqo,Treatment of fibroid-associated hypermenorrhoea in adult women before the onset of menopause.,<Leiomyoma>,no,Treatment of moderate to severe symptoms associated with uterine fibroids in adult women of reproductive age.,<Uterine Fibroids>,Gedeon Richter (Schweiz) AG,Gedeon Richter,68495,"relugolix, estradiol as estradiol hemihydrate, norethisterone acetate",yes,no,tablet,EMEA/H/C/005267/0000,EMA
oral,07.03.2024,2024,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,14.10.2024,2024,Diseases of the genitourinary system,swisspar_filspari.pdf,Small molecule,Filspari,Filspari is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urinary protein excretion of ≥1.0 g/day (or a urinary protein/creatinine quotient of ≥0.75 g/g),<Immunoglobulin A Nephropathy>,no,Filspari is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urinary protein excretion > 1.0 g/day (or a urinary protein-to-creatinine ratio ≥ 0.75 g/g,<Immunoglobulin A Nephropathy>,Vifor (International) Inc.,Vifor,69241,sparsentan,yes,yes,tablet,EMEA/H/C/005783/0000,European Medicines Agency (EMA)
intravenous,11.05.2021,2021,authorised,SWISSMEDIC,approved,31.08.2022,2022,Diseases of the musculoskeletal system and connective tissue,swisspar_saphnelo.pdf,Biologics,Saphnelo,"treatment of adult patients with moderate to severe systemic lupus erythematosus (SLE), in addition to standard therapy",<Systemic Lupus Erythematosus>,no,"treatment of adult patients with moderate to severe systemic lupus erythematosus (SLE), in addition to standard therapy",<Systemic Lupus Erythematosus>,AstraZeneca AG,AstraZeneca,68512,anifrolumab,no,no,concentrate,Not reported,NA
intramuscular,06.02.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,02.05.2024,2024,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_arexvy_final.pdf,Vaccine,Arexvy,Active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus in adults 60 years of age and older.,<Respiratory Tract Diseases>,no,Active immunisation of adults 60 years of age and older for prevention of lower respiratory tract disease caused by sub-types RSV-A and RSV-B of the RSV.,<Respiratory Tract Diseases>,GlaxoSmithKline AG,GlaxoSmithKline,69310,respiratory syncytial virus (RSV) pre-fusion F protein,yes,no,Powder; suspension,Not reported,NA
intravenous,20.07.2021,2021,authorised,SWISSMEDIC,approved,19.10.2022,2022,Diseases of the circulatory system,swisspar_rapibloc.pdf,Small molecule,Rapibloc,"Supraventricular tachycardia and for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative or other circumstances where short-term control of the ventricular rate with a short-acting agent is desirable; Non-compensatory sinus tachycardia where, in the physician’s judgment, the rapid heart rate requires specific intervention.",<Supraventricular Tachycardia>; <Atrial Fibrillation>; <Atrial Flutter>; <Sinus Tachycardia>,no,"Supraventricular tachycardia and for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative or other circumstances where short-term control of the ventricular rate with a short-acting agent is desirable; Non-compensatory sinus tachycardia where, in the physician’s judgment, the rapid heart rate requires specific intervention.",<Supraventricular Tachycardia>; <Atrial Fibrillation>; <Atrial Flutter>; <Sinus Tachycardia>,OrPha Swiss GmbH,OrPha,68611,landiolol hydrochloride,yes,no,powder,NL/H/3368/001/DC,Decentralised Procedure Final Assessment report
oral,26.07.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,26.11.2020,2020,Neoplasms; Diseases of the genitourinary system,swisspar_rubraca.pdf,Small molecule,RUBRACA,"maintenance therapy of adult patients with advanced, platinum-sensitive, relapsed, high-grade serous ovarian, fallopian tube or primary peritoneal cancer, who are in complete or partial remission following a platinum-based chemotherapy",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,no,"maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,Clovis Oncology Switzerland GmbH,Clovis,67402,rucaparib camsylate,yes,yes,tablet,Not reported,FDA
oral,30.08.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,19.07.2023,2023,Infectious and parasitic diseases,swisspar_livtencity_final.pdf,Small molecule,LIVTENCITY,"LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir, or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT).",<Cytomegalovirus Infections>,no,"LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir, or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT).",<Cytomegalovirus Infections>,Takeda Pharma AG,Takeda,68492,maribavir,no,yes,tablet,Not reported,NA
intravenous,19.08.2019,2019,authorised,SWISSMEDIC,approved,22.03.2021,2021,Diseases of the circulatory system; Pregnancy and childbirth,swisspar_nicardipin_labatec_final.pdf,Small molecule,Nicardipin Labatec,"Treatment of acute life-threatening hypertension, particularly in the event of malignant arterial hypertension/hypertensive encephalopathy, aortic dissection, severe pre-eclampsia, and post-operative hypertension.",<Hypertension>; <Malignant Hypertension>; <Hypertensive Encephalopathy>; <Aortic Dissection>; <Pre-Eclampsia>,no,"Treatment of acute life-threatening hypertension, particularly in the event of malignant arterial hypertension/hypertensive encephalopathy, aortic dissection, severe pre-eclampsia, and post-operative hypertension.",<Hypertension>; <Hypertensive Encephalopathy>; <Aortic Dissection>; <Pre-Eclampsia>,Labatec Pharma SA,Labatec,67680,nicardipine hydrochloride,yes,no,solution,Not reported,France
oral,30.04.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,05.01.2022,2022,"Endocrine, nutritional, and metabolic diseases",swisspar_trikafta_ie_pädiatrie_final.pdf,Small molecule,TRIKAFTA,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 6 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,yes,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 6 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,Vertex Pharmaceuticals (CH) GmbH,Vertex,67773,"elexacaftor, ivacaftor, tezacaftor",yes,yes,tablet,Not reported,NA
intramuscular,25.10.2019,2019,authorised,SWISSMEDIC,approved,08.10.2021,2021,Infectious and parasitic diseases,swisspar_vocabria.pdf,Small molecule,Vocabria,Vocabria injections are indicated in combination with rilpivirine injections for treatment of HIV-1 infection in adults who are virologically suppressed (HIV-1 RNA <50 copies/ml) on a stable antiretroviral treatment for at least 6 months prior to the switch to the cabotegravir-rilpivirine combination and have no known or suspected resistance to or no history of virological failure with agents of the NNRTI and INI class.,<HIV Infections>,no,"Vocabria injections are indicated, in combination with rilpivirine injections, for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA <50 copies/mL) and have no known or suspected resistance to either cabotegravir or rilpivirine.",<Human Immunodeficiency Virus>,ViiV Healthcare GmbH,ViiV,67740,cabotegravir,no,no,suspension,Not reported,NA
nasal,03.01.2019,2019,authorised,SWISSMEDIC,approved,25.02.2020,2020,Mental and behavioural disorders,swisspar_spravato.pdf,Small molecule,Spravato,treatment of treatment-resistant episodes of major depression in adults who have not responded to at least two different treatments with antidepressants in the current moderate to severe depressive episode,"<Depressive Disorder, Treatment-Resistant>",no,treatment-resistant depression (Major Depressive Disorder in adults who have not responded to at least two different treatments with antidepressants in the current moderate to severe depressive episode),"<Depressive Disorder, Treatment-Resistant>",Janssen-Cilag AG,Janssen-Cilag,67103,esketamine as esketamine hydrochloride,no,no,solution,Not reported,NA
oral,07.06.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,08.02.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_brukinsa.pdf,Small molecule,Brukinsa,Brukinsa (zanubrutinib) is used as monotherapy for the treatment of adult patients with Waldenström’s Macroglobulinaemia (WM) who have received at least one prior therapy or as first-line therapy in adult patients who are not eligible for chemoimmunotherapy.,<Waldenstrom Macroglobulinemia>,no,Brukinsa (zanubrutinib) is indicated for the treatment of patients with Waldenström’s macroglobulinaemia (WM).,<Waldenstrom Macroglobulinemia>,BeiGene Switzerland GmbH,BeiGene,67998,zanubrutinib,yes,yes,capsule,Not reported,Health Canada
