Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
injection,,,authorised,fda,approved,08.05.2023,2023,,,,small molecule,rocuronium bromide,,,,,meitheal,meitheal,anda213453,rocuronium bromide,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,31.05.2006,2006,,,,small molecule,doxycycline,,,,,sun pharm inds ltd,sun,anda065356,doxycycline,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,01.02.2021,2021,,,,small molecule,posaconazole,,,,,aet pharma,aet,anda213454,posaconazole,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,21.01.2022,2022,,,,small molecule,colesevelam hydrochloride,,,,,united res labs,united res,anda213456,colesevelam hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,18.12.2020,2020,diseases of the nervous system,<lennox-gastaut syndrome>,,small molecule,rufinamide,"1 indications and usage rufinamide oral suspension is indicated for adjunctive treatment of seizures associated with lennox-gastaut syndrome in pediatric patients 1 year of age and older and in adults. rufinamide oral suspension is indicated for adjunctive treatment of seizures associated with lennox-gastaut syndrome (lgs) in pediatric patients 1 year of age and older, and in adults ( 1 )",,,,lupin ltd,lupin,anda213457,rufinamide,yes,no,suspension,,no,FDA
oral,,,authorised,fda,approved,24.07.2023,2023,,,,small molecule,bumetanide,,,,,taro,taro,anda213458,bumetanide,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,02.08.2021,2021,,,,small molecule,carmustine,,,,,meitheal,meitheal,anda213460,carmustine,yes,no,injectable,,no,FDA
intravenous,,,authorised,fda,approved,23.10.2020,2020,,,,small molecule,clofarabine,,,,,meitheal,meitheal,anda213461,clofarabine,yes,no,solution,,no,FDA
injection,,,authorised,fda,approved,13.11.2020,2020,neoplasms; diseases of the genitourinary system; pregnancy and childbirth,<wilms tumor>; <rhabdomyosarcoma>; <ewing sarcoma>; <testicular neoplasms>; <gestational trophoblastic disease>; <neoplasms>,,small molecule,dactinomycin,"1 indications and usage dactinomycin for injection is an actinomycin indicated for the treatment of: adult and pediatric patients with wilms tumor, as part of a multi-phase, combination chemotherapy regimen. ( 1.1 ) adult and pediatric patients with rhabdomyosarcoma, as part of a multi-phase, combination chemotherapy regimen. ( 1.2 ) adult and pediatric patients with ewing sarcoma, as part of a multi-phase, combination chemotherapy regimen. ( 1.3 ) adult and pediatric patients with metastatic, nonseminomatous testicular cancer, as part of a multi-phase, combination chemotherapy regimen. ( 1.4 ) post-menarchal patients with gestational trophoblastic neoplasia, as a single agent or as part of a combination chemotherapy regimen. ( 1.5 ) adult patients with locally recurrent or locoregional solid malignancies, as a component of palliative or adjunctive regional perfusion. ( 1.6 ) 1.1 wilms tumor dactinomycin for injection is indicated for the treatment of adult and pediatric patients with wilms tumor, as part of a multi-phase, combination chemotherapy regimen. 1.2 rhabdomyosarcoma dactinomycin for injection is indicated for the treatment of adult and pediatric patients with rhabdomyosarcoma, as part of a multi-phase, combination chemotherapy regimen. 1.3 ewing sarcoma dactinomycin for injection is indicated for the treatment of adult and pediatric patients with ewing sarcoma, as part of a multi-phase, combination chemotherapy regimen. 1.4 metastatic nonseminomatous testicular cancer dactinomycin for injection is indicated for the treatment of adult and pediatric patients with metastatic, nonseminomatous testicular cancer, as part of a multi-phase, combination chemotherapy regimen. 1.5 gestational trophoblastic neoplasia dactinomycin for injection is indicated for the treatment of post-menarchal patients with gestational trophoblastic neoplasia, as a single agent or as part of a combination chemotherapy regimen. 1.6 regional perfusion in locally recurrent and locoregional solid malignancies dactinomycin for injection is indicated for the treatment of adult patients with locally recurrent or locoregional solid malignancies, as a component of palliative or adjunctive regional perfusion.",,,,meitheal,not reported,anda213463,dactinomycin,yes,no,injectable,,no,FDA
nasal,,,authorised,fda,approved,21.09.2020,2020,,,,small molecule,sumatriptan,,,,,padagis israel,padagis,anda213465,sumatriptan,yes,no,spray,,no,FDA
oral,,,authorised,fda,approved,23.05.2023,2023,,,,small molecule,fexofenadine hydrochloride,,,,,aurobindo pharma ltd,aurobindo,anda213466,fexofenadine hydrochloride,yes,no,suspension,,no,FDA
oral,,,authorised,fda,approved,27.01.2022,2022,,,,small molecule,potassium chloride,,,,,granule,granule,anda213467,potassium chloride,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,13.08.2007,2007,,,,small molecule,amoxicillin and clavulanate potassium,,,,,sandoz inc,sandoz,anda065358,amoxicillin,yes,no,suspension,,no,FDA
oral,,,discontinued,fda,approved,24.04.2020,2020,,,,small molecule,vigabatrin,,,,,granule,granule,anda213469,vigabatrin,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,18.02.2020,2020,,,,small molecule,montelukast sodium,,,,,aurobindo pharma ltd,aurobindo,anda213471,montelukast sodium,yes,no,granule,,no,FDA
intravenous,,,authorised,fda,approved,15.04.2022,2022,,,,small molecule,decitabine,,,,,jiangsu hansoh pharm,hansoh,anda213472,decitabine,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,29.07.2020,2020,mental and behavioural disorders,<attention deficit hyperactivity disorder>,,small molecule,methylphenidate hydrochloride,"1 indications and usage methylphenidate hydrochloride extended-release tablets are indicated for the treatment of attention deficit hyperactivity disorder (adhd) in children 6 years of age and older, adolescents, and adults up to the age of 65 [see clinical studies ( 14 )] . a diagnosis of attention deficit hyperactivity disorder (adhd; dsm-iv) implies the presence of hyperactive-impulsive or inattentive symptoms that caused impairment and were present before age 7 years. the symptoms must cause clinically significant impairment, e.g., in social, academic, or occupational functioning, and be present in two or more settings, e.g., school (or work) and at home. the symptoms must not be better accounted for by another mental disorder. for the inattentive type, at least six of the following symptoms must have persisted for at least 6 months: lack of attention to details/careless mistakes; lack of sustained attention; poor listener; failure to follow through on tasks; poor organization; avoids tasks requiring sustained mental effort; loses things; easily distracted; forgetful. for the hyperactive-impulsive type, at least six of the following symptoms must have persisted for at least 6 months: fidgeting/squirming; leaving seat; inappropriate running/climbing; difficulty with quiet activities; “on the go;” excessive talking; blurting answers; can’t wait turn; intrusive. the combined type requires both inattentive and hyperactive-impulsive criteria to be met. methylphenidate hydrochloride extended-release tablets is a cns stimulant indicated for the treatment of attention deficit hyperactivity disorder (adhd) in children 6 years of age and older, adolescents, and adults up to the age of 65. ( 1 ) 1.1 special diagnostic considerations specific etiology of this syndrome is unknown, and there is no single diagnostic test. adequate diagnosis requires the use of medical and special psychological, educational, and social resources. learning may or may not be impaired. the diagnosis must be based upon a complete history and evaluation of the patient and not solely on the presence of the required number of dsm-iv characteristics. 1.2 need for comprehensive treatment program methylphenidate hydrochloride extended-release tablets are indicated as an integral part of a total treatment program for adhd that may include other measures (psychological, educational, social). drug treatment may not be indicated for all patients with adhd. stimulants are not intended for use in patients who exhibit symptoms secondary to environmental factors and/or other primary psychiatric disorders, including psychosis. appropriate educational placement is essential and psychosocial intervention is often helpful. when remedial measures alone are insufficient, the decision to prescribe stimulant medication will depend upon the physician's assessment of the chronicity and severity of the patient’s symptoms.",,,,dr reddys,dr reddys,anda213473,methylphenidate hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,28.07.2020,2020,,,,small molecule,doxepin hydrochloride,,,,,aiping pharm inc,aiping,anda213474,doxepin hydrochloride,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,10.03.2021,2021,,,,small molecule,doxycycline hyclate,,,,,oryza,oryza,anda213475,doxycycline hyclate,yes,no,tablet,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,29.08.2022,2022,,,,small molecule,brexpiprazole,,,,,zenara,zenara,anda213477,brexpiprazole,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,01.07.2020,2020,"injury, poisoning and certain other consequences of external causes",not reported,,small molecule,levorphanol tartrate,"indications and usage levorphanol tartrate tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration [see warnings ] , reserve levorphanol tartrate tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: have not been tolerated, or are not expected to be tolerated, have not provided adequate analgesia, or are not expected to provide adequate analgesia levorphanol tartrate tablets should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",,,,novitium pharma,novitium,anda213479,levorphanol tartrate,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,28.04.2025,2025,,,,small molecule,ivabradine hydrochloride,,,,,msn,msn,anda213483,ivabradine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,10.09.2021,2021,,,,small molecule,loperamide hydrochloride and simethicone,,,,,bionpharma,bionpharma,anda213484,loperamide hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,15.02.2008,2008,,,,small molecule,cefuroxime axetil,,,,,anda repository,not reported,anda065359,cefuroxime axetil,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,16.02.2021,2021,,,,small molecule,paroxetine hydrochloride,,,,,cspc ouyi,cspc,anda213485,paroxetine hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,19.03.2021,2021,,,,small molecule,esomeprazole magnesium,,,,,graviti pharms,graviti,anda213486,esomeprazole magnesium,yes,no,capsule; pellet,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,03.04.2025,2025,,,,,,,,,,cipla limited,cipla,anda213495,,yes,no,,,,FDA
oral,,,authorised,fda,approved,23.11.2020,2020,,,,small molecule,tadalafil,,,,,sunshine,sunshine,anda213496,tadalafil,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,10.05.2021,2021,,,,small molecule,leflunomide,,,,,aet pharma,aet,anda213497,leflunomide,yes,no,tablet,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,22.12.2021,2021,,,,,,,,,,qilu pharm co ltd,qilu,anda213499,,yes,no,,,,FDA
oral,,,authorised,fda,approved,22.07.2020,2020,,,,small molecule,mexiletine hydrochloride,,,,,crossmedika sa,crossmedika,anda213500,mexiletine hydrochloride,yes,no,capsule,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,29.12.2020,2020,,,,small molecule,gabapentin encarbil,,,,,glenmark pharms ltd,glenmark,anda213501,gabapentin encarbil,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,27.06.2022,2022,,,,small molecule,tranylcypromine sulfate,,,,,crossmedika sa,crossmedika,anda213503,tranylcypromine sulfate,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,20.08.2020,2020,,,,small molecule,ursodiol,,,,,strides pharma,strides,anda213504,ursodiol,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,08.01.2007,2007,,,,small molecule,azithromycin,,,,,aurobindo pharma usa,aurobindo,anda065360,azithromycin,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,08.04.2024,2024,,,,small molecule,ibuprofen,,,,,aurobindo pharma ltd,aurobindo,anda213506,ibuprofen,yes,no,suspension; drops,,no,FDA
topical,,,authorised,fda,approved,18.06.2020,2020,diseases of the skin,<acne vulgaris>,,small molecule,adapalene,"1 indications and usage adapalene gel, 0.3% is indicated for the topical treatment of acne vulgaris in patients 12 years of age and older. adapalene gel, 0.3%, is a retinoid, indicated for the topical treatment of acne vulgaris in patients 12 years of age and older. ( 1 )",,,,alembic,alembic,anda213508,adapalene,yes,no,gel,,no,FDA
injection,,,authorised,fda,approved,01.07.2021,2021,,,,small molecule,docetaxel,,,,,gland,gland,anda213510,docetaxel,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,18.03.2023,2023,,,,small molecule,brexpiprazole,,,,,lupin ltd,lupin,anda213512,brexpiprazole,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,29.04.2020,2020,diseases of the respiratory system; diseases of the eye and adnexa,<hay fever>,,small molecule,levocetirizine dihydrochloride,"use(s) temporarily relieves these symptoms due to hay fever or other respiratory allergies: • runny nose • sneezing • itchy, watery eyes • itching of the nose or throat",,,,hetero labs ltd iii,hetero,anda213513,levocetirizine dihydrochloride,yes,no,tablet,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,28.01.2025,2025,,,,,,,,,,gland pharma ltd,gland,anda213514,,yes,no,,,,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,15.04.2020,2020,,,,,,,,,,gland pharma ltd,gland,anda213515,,yes,no,,,,FDA
injection; oral,,,authorised,fda,approved,09.11.2023,2023,neoplasms; diseases of the digestive system; diseases of the respiratory system,<breast neoplasms>; <melanoma>,,other,technetium tc-99m sulfur colloid kit,"1 indications and usage technetium tc 99m sulfur colloid injection is indicated: in adults, to assist in the: localization of lymph nodes draining a primary tumor in patients with breast cancer or malignant melanoma when used with a hand-held gamma counter. evaluation of peritoneo-venous (leveen) shunt patency. in adults and pediatric patients, for imaging: areas of functioning reticuloendothelial cells in the liver, spleen and bone marrow. studies of esophageal transit and gastroesophageal reflux, and detection of pulmonary aspiration of gastric contents. technetium tc 99m sulfur colloid injection is a radioactive diagnostic agent indicated: (1) in adults, to assist in the: localization of lymph nodes draining a primary tumor in patients with breast cancer or malignant melanoma when used with a hand-held gamma counter. evaluation of peritoneo-venous (leveen) shunt patency in adults. in adults and pediatric patients for: imaging areas of functioning reticuloendothelial cells in the liver, spleen and bone marrow. studies of esophageal transit and gastroesophageal reflux, and detection of pulmonary aspiration of gastric contents.",,,,jubilant,jubilant,anda213516,technetium tc-99m sulfur colloid kit,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,27.04.2022,2022,,,,small molecule,ranolazine,,,,,i3 pharms,i3,anda213517,ranolazine,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,26.01.2021,2021,diseases of the nervous system,<seizures>; <infantile spasms>,,small molecule,vigabatrin,1 indications and usage vigabatrin for oral solution is indicated for the treatment of: • refractory complex partial seizures as adjunctive therapy in patients 2 years of age and older who have responded inadequately to several alternative treatments; vigabatrin for oral solution is not indicated as a first line agent ( 1.1 ) • infantile spasms - monotherapy in infants 1 month to 2 years of age for whom the potential benefits outweigh the potential risk of vision loss ( 1.2 ) 1.1 refractory complex partial seizures (cps) vigabatrin for oral solution is indicated as adjunctive therapy for adults and pediatric patients 2 years of age and older with refractory complex partial seizures who have inadequately responded to several alternative treatments and for whom the potential benefits outweigh the risk of vision loss [see warnings and precautions (5.1). vigabatrin for oral solution is not indicated as a first line agent for complex partial seizures. 1.2 infantile spasms (is) vigabatrin for oral solution is indicated as monotherapy for pediatric patients with infantile spasms 1 month to 2 years of age for whom the potential benefits outweigh the potential risk of vision loss [see warnings and precautions ( 5.1 )].,,,,annora pharma,annora,anda213519,vigabatrin,yes,no,solution,,no,FDA
injection,,,authorised,fda,approved,22.10.2007,2007,,,,small molecule,epirubicin hydrochloride,,,,,cipla ltd,cipla,anda065361,epirubicin hydrochloride,yes,no,injectable,,no,FDA
subcutaneous,,,authorised,fda,approved,14.08.2023,2023,,,,peptides and proteins,icatibant acetate,,,,,eugia pharma,eugia,anda213521,icatibant acetate,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,14.03.2025,2025,,,,small molecule,eluxadoline,,,,,zydus pharms,zydus,anda213522,eluxadoline,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,09.03.2021,2021,"endocrine, nutritional, and metabolic diseases",not reported,,small molecule,potassium chloride 10meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 20meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 30meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 40meq in dextrose 5% and sodium chloride 0.45%,indications and usage these solutions are indicated in patients requiring parenteral administration of potassium chloride with minimal carbohydrate calories and sodium chloride.,,,,fresenius kabi usa,fresenius,anda213523,dextrose,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,08.10.2020,2020,,,,small molecule,albuterol sulfate,,,,,hibrow hlthcare,hibrow,anda213524,albuterol sulfate,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,01.09.2020,2020,,,,small molecule,cisatracurium besylate,,,,,zydus pharms,zydus,anda213527,cisatracurium besylate,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,20.10.2020,2020,,,,small molecule,chlordiazepoxide hydrochloride and clidinium bromide,,,,,chartwell rx,chartwell,anda213530,chlordiazepoxide hydrochloride,yes,no,capsule,,no,FDA
intravenous,,,authorised,fda,approved,06.07.2020,2020,,,,small molecule,levetiracetam in sodium chloride,,,,,nexus,nexus,anda213532,levetiracetam,yes,no,injectable,,no,FDA
ophthalmic,,,authorised,fda,approved,23.03.2023,2023,,,,small molecule,timolol maleate,,,,,eugia pharma,eugia,anda213540,timolol maleate,yes,no,solution; drops,,no,FDA
oral,,,authorised,fda,approved,22.12.2021,2021,,,,small molecule,"efavirenz, emtricitabine, and tenofovir disoproxil fumarate",,,,,laurus,laurus,anda213541,efavirenz,yes,no,tablet,,no,FDA
ophthalmic,,,discontinued,fda,approved,03.11.2021,2021,,,,small molecule,gatifloxacin,,,,,torrent,torrent,anda213542,gatifloxacin,yes,no,solution; drops,,no,FDA
injection,,,authorised,fda,approved,21.10.2010,2010,infectious and parasitic diseases; diseases of the respiratory system; diseases of the digestive system; diseases of the skin; diseases of the genitourinary system,"<intra-abdominal infections>; <nosocomial pneumonia>; <skin diseases, bacterial>; <pelvic inflammatory disease>; <community-acquired infections>",,small molecule,piperacillin and tazobactam,"1 indications and usage piperacillin and tazobactam for injection is a combination of piperacillin, a penicillin-class antibacterial and tazobactam, a beta-lactamase inhibitor, indicated for the treatment of: • intra-abdominal infections in adult and pediatric patients 2 months of age and older ( 1.1 ) • nosocomial pneumonia in adult and pediatric patients 2 months of age and older ( 1.2 ) • skin and skin structure infections in adults ( 1.3 ) • female pelvic infections in adults ( 1.4 ) • community-acquired pneumonia in adults ( 1.5 ) to reduce the development of drug-resistant bacteria and maintain the effectiveness of piperacillin and tazobactam for injection and other antibacterial drugs, piperacillin and tazobactam for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.6 ) 1.1 intra-abdominal infections piperacillin and tazobactam for injection is indicated in adults and pediatric patients (2 months of age and older) for the treatment of appendicitis (complicated by rupture or abscess) and peritonitis caused by beta-lactamase producing isolates of escherichia coli or the following members of the bacteroides fragilis group: b. fragilis , b. ovatus , b. thetaiotaomicron , or b. vulgatus . 1.2 nosocomial pneumonia piperacillin and tazobactam for injection is indicated in adults and pediatric patients (2 months of age and older) for the treatment of nosocomial pneumonia (moderate to severe) caused by beta-lactamase producing isolates of staphylococcus aureus and by piperacillin and tazobactam-susceptible acinetobacter baumannii, haemophilus influenzae, klebsiella pneumoniae, and pseudomonas aeruginosa (nosocomial pneumonia caused by p. aeruginosa should be treated in combination with an aminoglycoside) [see dosage and administration ( 2 )] . 1.3 skin and skin structure infections piperacillin and tazobactam for injection is indicated in adults for the treatment of uncomplicated and complicated skin and skin structure infections, including cellulitis, cutaneous abscesses and ischemic/diabetic foot infections caused by beta-lactamase producing isolates of staphylococcus aureus . 1.4 female pelvic infections piperacillin and tazobactam for injection is indicated in adults for the treatment of postpartum endometritis or pelvic inflammatory disease caused by beta-lactamase producing isolates of escherichia coli . 1.5 community-acquired pneumonia piperacillin and tazobactam for injection is indicated in adults for the treatment of community-acquired pneumonia (moderate severity only) caused by beta-lactamase producing isolates of haemophilus influenzae . 1.6 usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of piperacillin and tazobactam for injection and other antibacterial drugs, piperacillin and tazobactam for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",,,,sandoz,sandoz,anda065362,piperacillin sodium,yes,no,injectable,,no,FDA
injection,,,authorised,fda,approved,19.01.2022,2022,,,,small molecule,triamcinolone acetonide,,,,,long grove pharms,long grove,anda213543,triamcinolone acetonide,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,24.03.2020,2020,,,,small molecule,tizanidine hydrochloride,,,,,aurobindo pharma ltd,aurobindo,anda213544,tizanidine hydrochloride,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,13.04.2020,2020,,,,small molecule,exemestane,,,,,qilu,qilu,anda213547,exemestane,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,17.01.2024,2024,diseases of the digestive system,<duodenal ulcer>,,small molecule,sucralfate,indications and usage sucralfate oral suspension is sucralfate oral suspension is indicated in the short-term (up to 8 weeks) treatment of active duodenal ulcer.in the short-term (up to 8 weeks) treatment of active duodenal ulcer.,,,,pd partners,not reported,anda213549,sucralfate,yes,no,suspension,,no,FDA
oral,,,authorised,fda,approved,14.07.2022,2022,,,,small molecule,oxybutynin chloride,,,,,beximco pharms usa,beximco,anda213550,oxybutynin chloride,yes,no,tablet,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,07.12.2021,2021,,,,,,,,,,gland pharma ltd,gland,anda213551,,yes,no,,,,FDA
injection,,,discontinued,fda,approved,27.10.2020,2020,,,,small molecule,succinylcholine chloride,,,,,nexus,nexus,anda213552,succinylcholine chloride,yes,no,injectable,,no,FDA
intramuscular,,,authorised,fda,approved,13.08.2021,2021,,,,small molecule,fulvestrant,,,,,xiromed,not reported,anda213553,fulvestrant,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,17.08.2020,2020,"diseases of the digestive system; endocrine, nutritional, and metabolic diseases",<gallstones>,,small molecule,ursodiol,"indications and usage ursodiol capsules are indicated for patients with radiolucent, noncalcified gallbladder stones <20 mm in greatest diameter in whom elective cholecystectomy would be undertaken except for the presence of increased surgical risk due to systemic disease, advanced age, idiosyncratic reaction to general anesthesia, or for those patients who refuse surgery. safety of use of ursodiol beyond 24 months is not established. ursodiol capsules are indicated for the prevention of gallstone formation in obese patients experiencing rapid weight loss.",,,,chartwell rx,chartwell,anda213555,ursodiol,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,11.09.2020,2020,diseases of the respiratory system; diseases of the eye and adnexa,<hay fever>,,small molecule,cetirizine hydrochloride,"uses temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose sneezing itchy, watery eyes itching of the nose or throat",,,,aurobindo pharma ltd,aurobindo,anda213557,cetirizine hydrochloride,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,21.10.2010,2010,,,,small molecule,piperacillin and tazobactam,,,,,sandoz,sandoz,anda065363,piperacillin sodium,yes,no,injectable,,no,FDA
topical,,,authorised,fda,approved,01.07.2020,2020,,,,small molecule,triamcinolone acetonide,,,,,quagen,quagen,anda213559,triamcinolone acetonide,yes,no,lotion,,no,FDA
topical,,,authorised,fda,approved,06.10.2020,2020,,,,small molecule,halobetasol propionate,,,,,quagen,quagen,anda213560,halobetasol propionate,yes,no,ointment,,no,FDA
intravenous; intramuscular; subcutaneous; intraosseous; endotracheal,,,authorised,fda,approved,01.12.2021,2021,,,,small molecule,atropine sulfate,,,,,hikma,hikma,anda213561,atropine sulfate,yes,no,solution,,no,FDA
oral,,,discontinued,fda,approved,31.01.2023,2023,,,,small molecule,brexpiprazole,,,,,amneal,amneal,anda213562,brexpiprazole,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,10.03.2023,2023,infectious and parasitic diseases; diseases of the nervous system; diseases of the respiratory system; diseases of the musculoskeletal system and connective tissue,<common cold>; <influenza>,,small molecule,ibuprofen and pseudoephedrine hydrochloride,uses temporarily relieves these symptoms associated with the common cold or flu: headache fever sinus pressure nasal congestion minor body aches and pains,,,,aurobindo pharma ltd,aurobindo,anda213565,ibuprofen,yes,no,tablet,,no,FDA
topical,,,authorised,fda,approved,10.08.2021,2021,infectious and parasitic diseases; diseases of the skin,<mycoses>,,small molecule,nystatin,"indications & usage nystatin cream is indicated in the treatment of cutaneous or mucocutaneous mycotic infections caused by candida albicans and other susceptible candida species. this cream is not indicated for systemic, oral, intravaginal or ophthalmic use.",,,,macleods pharms ltd,macleods,anda213566,nystatin,yes,no,cream,,no,FDA
oral,,,authorised,fda,approved,04.06.2020,2020,mental and behavioural disorders; diseases of the nervous system,<attention deficit disorder with hyperactivity>; <narcolepsy>,,small molecule,methylphenidate hydrochloride,"indications and usage attention deficit disorders, narcolepsy attention deficit disorders (previously known as minimal brain dysfunction in children). other terms being used to describe the behavioral syndrome below include: hyperkinetic child syndrome, minimal brain damage, minimal cerebral dysfunction, minor cerebral dysfunction. methylphenidate hcl oral solution is indicated as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. the diagnosis of this syndrome should not be made with finality when these symptoms are only of comparatively recent origin. nonlocalizing (soft) neurological signs, learning disability, and abnormal eeg may or may not be present, and a diagnosis of central nervous system dysfunction may or may not be warranted. special diagnostic considerations specific etiology of this syndrome is unknown, and there is no single diagnostic test. adequate diagnosis requires the use not only of medical but of special psychological, educational, and social resources. characteristics commonly reported include: chronic history of short attention span, distractibility, emotional lability, impulsivity, and moderate-to-severe hyperactivity; minor neurological signs and abnormal eeg. learning may or may not be impaired. the diagnosis must be based upon a complete history and evaluation of the child and not solely on the presence of one or more of these characteristics. drug treatment is not indicated for all children with this syndrome. stimulants are not intended for use in the child who exhibits symptoms secondary to environmental factors and/or primary psychiatric disorders, including psychosis. appropriate educational placement is essential and psychosocial intervention is generally necessary. when remedial measures alone are insufficient, the decision to prescribe stimulant medication will depend upon the physician's assessment of the chronicity and severity of the child's symptoms.",,,,quagen,quagen,anda213567,methylphenidate hydrochloride,yes,no,solution,,no,FDA
oral,,,discontinued,fda,approved,26.09.2022,2022,,,,small molecule,brexpiprazole,,,,,sandoz,sandoz,anda213570,brexpiprazole,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,12.04.2021,2021,,,,small molecule,isotretinoin,,,,,upsher smith labs,upsher smith,anda213571,isotretinoin,yes,no,capsule,,no,FDA
injection,,,authorised,fda,approved,02.04.2024,2024,,,,small molecule,naloxone hydrochloride,,,,,fresenius kabi usa,fresenius,anda213573,naloxone hydrochloride,yes,no,injectable,,no,FDA
injection,,,authorised,fda,approved,17.04.2008,2008,,,,small molecule,colistimethate sodium,,,,,fresenius kabi usa,fresenius,anda065364,colistimethate sodium,yes,no,injectable,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,23.09.2021,2021,,,,small molecule,eluxadoline,,,,,msn pharmaceuticals inc,msn,anda213576,eluxadoline,yes,no,tablet,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,28.01.2022,2022,,,,,,,,,,cipla usa,cipla,anda213579,,yes,no,,,,FDA
