Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
anda205540,,levofloxacin,levofloxacin,gland,,injectable,injection,approved,authorised,22.04.2020,2020,no,,,,infectious and parasitic diseases; diseases of the respiratory system; diseases of the skin; diseases of the genitourinary system,,,yes,,,FDA,"1 indications and usage levofloxacin injection is indicated for the treatment of adults (≥18 years of age) with mild, moderate, and severe infections caused by susceptible isolates of the designated microorganisms in the conditions listed in this section. levofloxacin injection is indicated when intravenous administration offers a route of administration advantageous to the patient (e.g., patient cannot tolerate an oral dosage form). levofloxacin is a fluoroquinolone antibacterial indicated in adults (≥18 years of age) with infections caused by designated, susceptible bacteria ( 1 , 12.4 ). • pneumonia: nosocomial ( 1.1 ) and community acquired ( 1.2 , 1.3 ) • skin and skin structure infections: complicated ( 1.4 ) and uncomplicated ( 1.5 ) • chronic bacterial prostatitis ( 1.6 ) • inhalational anthrax, post-exposure ( 1.7 ) • plague ( 1.8 ) • urinary tract infections: complicated ( 1.9 , 1.10 ) and uncomplicated ( 1.12 ) • acute pyelonephritis ( 1.11 ) • acute bacterial exacerbation of chronic bronchitis ( 1.13 ) • acute bacterial sinusitis ( 1.14 ) usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of levofloxacin and other antibacterial drugs, levofloxacin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria ( 1.15 ). 1.1 nosocomial pneumonia levofloxacin is indicated for the treatment of nosocomial pneumonia due to methicillin susceptible staphylococcus aureus, pseudomonas aeruginosa, serratia marcescens, escherichia coli, klebsiella pneumoniae, haemophilus influenzae, or streptococcus pneumoniae . adjunctive therapy should be used as clinically indicated. where pseudomonas aeruginosa is a documented or presumptive pathogen, combination therapy with an anti-pseudomonal β-lactam is recommended [see clinical studies (14.1) ]. 1.2 community-acquired pneumonia: 7 to 14 day treatment regimen levofloxacin is indicated for the treatment of community-acquired pneumonia due to methicillin- susceptible staphylococcus aureus, streptococcus pneumoniae (including multidrug- resistant streptococcus pneumoniae [mdrsp]), haemophilus influenzae, haemophilus parainfluenzae, klebsiella pneumoniae, moraxella catarrhalis, chlamydophila pneumoniae, legionella pneumophila, or mycoplasma pneumoniae [see dosage and administration (2.1) and clinical studies (14.2) ]. mdrsp isolates are isolates resistant to two or more of the following antibacterials: penicillin (mic ≥2 mcg/ml), 2nd generation cephalosporins, e.g., cefuroxime, macrolides, tetracyclines and trimethoprim/sulfamethoxazole. 1.3 community-acquired pneumonia: 5-day treatment regimen levofloxacin is indicated for the treatment of community-acquired pneumonia due to streptococcus pneumoniae (excluding multi-drug-resistant isolates [mdrsp]), haemophilus influenzae, haemophilus parainfluenzae, mycoplasma pneumoniae, or chlamydophila pneumoniae [see dosage and administration (2.1) and clinical studies (14.3) ]. 1.4 complicated skin and skin structure infections levofloxacin is indicated for the treatment of complicated skin and skin structure infections due to methicillin-susceptible staphylococcus aureus, enterococcus faecalis, streptococcus pyogenes, or proteus mirabilis [see clinical studies (14.5) ]. 1.5 uncomplicated skin and skin structure infections levofloxacin is indicated for the treatment of uncomplicated skin and skin structure infections (mild to moderate) including abscesses, cellulitis, furuncles, impetigo, pyoderma, wound infections, due to methicillin-susceptible staphylococcus aureus, or streptococcus pyogenes . 1.6 chronic bacterial prostatitis levofloxacin is indicated for the treatment of chronic bacterial prostatitis due to escherichia coli, enterococcus faecalis, or methicillin-susceptible staphylococcus epidermidis [see clinical studies (14.6) ]. 1.7 inhalational anthrax (post-exposure) levofloxacin is indicated for inhalational anthrax (post-exposure) to reduce the incidence or progression of disease following exposure to aerosolized bacillus anthracis . the effectiveness of levofloxacin is based on plasma concentrations achieved in humans, a surrogate endpoint reasonably likely to predict clinical benefit. levofloxacin has not been tested in humans for the post-exposure prevention of inhalation anthrax. the safety of levofloxacin in adults for durations of therapy beyond 28 days or in pediatric patients for durations of therapy beyond 14 days has not been studied. prolonged levofloxacin therapy should only be used when the benefit outweighs the risk [see dosage and administration (2.1 , 2.2 ) and clinical studies (14.9) ]. 1.8 plague levofloxacin is indicated for treatment of plague, including pneumonic and septicemic plague, due to yersinia pestis (y. pestis) and prophylaxis for plague in adults and pediatric patients, 6 months of age and older. efficacy studies of levofloxacin could not be conducted in humans with plague for ethical and feasibility reasons. therefore, approval of this indication was based on an efficacy study conducted in animals [see dosage and administration (2.1 , 2.2 ) and clinical studies (14.10) ]. 1.9 complicated urinary tract infections: 5-day treatment regimen levofloxacin is indicated for the treatment of complicated urinary tract infections due to escherichia coli, klebsiella pneumoniae , or proteus mirabilis [see clinical studies (14.7) ]. 1.10 complicated urinary tract infections: 10-day treatment regimen levofloxacin is indicated for the treatment of complicated urinary tract infections (mild to moderate) due to enterococcus faecalis, enterobacter cloacae, escherichia coli, klebsiella pneumoniae, proteus mirabilis, or pseudomonas aeruginosa [see clinical studies (14.8) ]. 1.11 acute pyelonephritis: 5 or 10-day treatment regimen levofloxacin is indicated for the treatment of acute pyelonephritis caused by escherichia coli, including cases with concurrent bacteremia [see clinical studies (14.7 , 14.8 )]. 1.12 uncomplicated urinary tract infections levofloxacin is indicated for the treatment of uncomplicated urinary tract infections (mild to moderate) due to escherichia coli, klebsiella pneumoniae, or staphylococcus saprophyticus. because fluoroquinolones, including levofloxacin have been associated with serious adverse reactions [see warnings and precautions (5.1 - 5.15 ) ] and for some patients uncomplicated urinary tract infection is self-limiting, reserve levofloxacin for treatment of uncomplicated urinary tract infections in patients who have no alternative treatment options. 1.13 acute bacterial exacerbation of chronic bronchitis levofloxacin is indicated for the treatment of acute bacterial exacerbation of chronic bronchitis (abecb) due to methicillin-susceptible staphylococcus aureus, streptococcus pneumoniae, haemophilus influenzae, haemophilus parainfluenzae, or moraxella catarrhalis. because fluoroquinolones, including levofloxacin have been associated with serious adverse reactions [see warnings and precautions (5.1 -5.15)] and for some patients abecb is self-limiting, reserve levofloxacin for treatment of abecb in patients who have no alternative treatment options. 1.14 acute bacterial sinusitis: 5-day and 10 to 14 day treatment regimens levofloxacin is indicated for the treatment of acute bacterial sinusitis (abs) due to streptococcus pneumoniae, haemophilus influenzae, or moraxella catarrhalis [see clinical studies (14.4) ]. because fluoroquinolones, including levofloxacin have been associated with serious adverse reactions [see warnings and precautions (5.1 - 5.15) ] and for some patients abs is self-limiting, reserve levofloxacin for treatment of abs in patients who have no alternative treatment options. 1.15 usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of levofloxacin and other antibacterial drugs, levofloxacin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. culture and susceptibility testing appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify organisms causing the infection and to determine their susceptibility to levofloxacin [see microbiology (12.4) ] . therapy with levofloxacin may be initiated before results of these tests are known; once results become available, appropriate therapy should be selected. as with other drugs in this class, some isolates of pseudomonas aeruginosa may develop resistance fairly rapidly during treatment with levofloxacin. culture and susceptibility testing performed periodically during therapy will provide information about the continued susceptibility of the pathogens to the antimicrobial agent and also the possible emergence of bacterial resistance.",fda,no,gland,"<nosocomial pneumonia>; <community-acquired pneumonia>; <skin diseases, bacterial>; <prostatitis>; <anthrax>; <plague>; <urinary tract infections>; <pyelonephritis>; <bronchitis, chronic>; <sinusitis>",
anda205541,,metoprolol succinate,metoprolol succinate,hetero labs ltd iii,,tablet,oral,approved,authorised,06.11.2020,2020,no,,,,diseases of the circulatory system,,,yes,,,FDA,"1 indications and usage metoprolol succinate extended-release tablets, are a beta-adrenergic blocker indicated for the treatment of: • hypertension, to lower blood pressure. lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. ( 1.1 ) • angina pectoris. ( 1.2 ) • heart failure, to reduce the risk of cardiovascular mortality and heartfailure hospitalizations in patients with heart failure ( 1.3 ) 1.1 hypertension metoprolol succinate extended-release tablets are indicated for the treatment of hypertension, to lower blood pressure. lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. these benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including metoprolol. control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. many patients will require more than 1 drug to achieve blood pressure goals. for specific advice on goals and management, see published guidelines, such as those of the national high blood pressure education program’s joint national committee on prevention, detection, evaluation, and treatment of high blood pressure (jnc). numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. the largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmhg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). these considerations may guide selection of therapy. metoprolol succinate extended-release tablets may be administered with other antihypertensive agents. 1.2 angina pectoris metoprolol succinate extended-release tablets are indicated in the long-term treatment of angina pectoris, to reduce angina attacks and to improve exercise tolerance. 1.3 heart failure metoprolol succinate extended-release tablets are indicated to reduce the risk of cardiovascular mortality and heart-failure hospitalization in patients with heart failure.",fda,no,hetero,<hypertension>; <angina pectoris>; <heart failure>,
anda205544,,nateglinide,nateglinide,rising,,tablet,oral,approved,authorised,18.06.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,rising,,
anda205545,,omeprazole and sodium bicarbonate,omeprazole,ajanta pharma ltd,,suspension,oral,approved,authorised,27.07.2016,2016,no,,,,diseases of the digestive system,,,yes,,,FDA,"1 indications and usage omeprazole and sodium bicarbonate for oral suspension is indicated in adults for the: short-term treatment of active duodenal ulcer. most patients heal within four weeks. some patients may require an additional four weeks of therapy. short-term treatment (4 to 8 weeks) of active benign gastric ulcer. treatment of heartburn and other symptoms associated with gerd for up to 4 weeks. short-term treatment (4 to 8 weeks) of ee due to acid-mediated gerd which has been diagnosed by endoscopy in adults. the efficacy of omeprazole and sodium bicarbonate used for longer than 8 weeks in patients with ee has not been established. if a patient does not respond to 8 weeks of treatment, an additional 4 weeks of treatment may be given. if there is recurrence of ee or gerd symptoms (e.g., heartburn), additional 4 to 8-week courses of omeprazole and sodium bicarbonate may be considered. maintenance of healing of ee due to acid-mediated gerd. controlled studies do not extend beyond 12 months. omeprazole and sodium bicarbonate for oral suspension is indicated in adults for the : reduction of risk of upper gi bleeding in critically ill adult patients. omeprazole and sodium bicarbonate is a proton pump inhibitor (ppi). omeprazole and sodium bicarbonate for oral suspension is indicated in adults for: treatment of active duodenal ulcer ( 1 ) treatment of active benign gastric ulcer ( 1 ) treatment of erosive esophagitis (ee) due to acid-mediated gastroesophageal reflux disease (gerd) ( 1 ) maintenance of healing of ee ( 1 ) omeprazole and sodium bicarbonate for oral suspension is indicated in adults for: reduction of risk of upper gastrointestinal (gi) bleeding in critically ill patients ( 1 )",fda,no,ajanta,<duodenal ulcer>; <gastric ulcer>; <gastroesophageal reflux>; <erosive esophagitis>; <gastrointestinal hemorrhage>,
anda205548,,ciprofloxacin and dexamethasone,ciprofloxacin,dr reddys,,suspension; drops,otic,approved,authorised,10.08.2020,2020,no,,,,infectious and parasitic diseases; diseases of the ear and mastoid process,,,yes,,,FDA,"1 indications and usage ciprofloxacin 0.3% and dexamethasone 0.1% otic suspension is indicated for the treatment of infections caused by susceptible isolates of the designated microorganisms in the specific conditions listed below: acute otitis media (aom) in pediatric patients (age 6 months and older) with tympanostomy tubes due to staphylococcus aureus, streptococcus pneumoniae, haemophilus influenzae, moraxella catarrhalis , and pseudomonas aeruginosa. acute otitis externa (aoe) in pediatric (age 6 months and older), adult, and elderly patients due to staphylococcus aureus and pseudomonas aeruginosa . ciprofloxacin 0.3% and dexamethasone 0.1% otic suspension is a combination of ciprofloxacin, a fluoroquinolone antibacterial and dexamethasone, a corticosteroid, indicated for the treatment of infections caused by susceptible isolates of the designated microorganisms in the specific conditions listed below: • acute otitis media (aom) in pediatric patients (age 6 months and older) with tympanostomy tubes due to staphylococcus aureus, streptococcus pneumoniae, haemophilus influenzae, moraxella catarrhalis , and pseudomonas aeruginosa. ( 1 ) • acute otitis externa (aoe) in pediatric (age 6 months and older), adult and elderly patients due to staphylococcus aureus and pseudomonas aeruginosa . ( 1 )",fda,no,dr reddys,<otitis media>; <otitis externa>,
anda205549,,potassium chloride,potassium chloride,strides pharma,,capsule,oral,approved,authorised,08.12.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,strides,,
anda205550,,darifenacin hydrobromide,darifenacin hydrobromide,jubilant generics,,tablet,oral,approved,discontinued,12.10.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,jubilant,,
anda205557,,eptifibatide,eptifibatide,accord hlthcare,,injectable,injection,approved,discontinued,06.11.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,accord,,
anda205559,,paliperidone,paliperidone,dr reddys,,tablet,oral,approved,authorised,19.02.2025,2025,no,,,,,,,yes,,,FDA,,fda,no,dr reddys,,
anda205563,,esomeprazole magnesium,esomeprazole magnesium,lannett co inc,,capsule; pellet,oral,approved,authorised,01.09.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,lannett,,
anda205564,,levocetirizine dihydrochloride,levocetirizine dihydrochloride,macleods pharms ltd,,tablet,oral,approved,authorised,11.01.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,macleods,,
anda205566,,fenofibrate (micronized),fenofibrate,glenmark pharms ltd,,capsule,oral,approved,authorised,07.04.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,glenmark,,
anda205568,,adenosine,adenosine,fresenius kabi usa,,injectable,injection,approved,authorised,16.04.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,fresenius,,
anda205570,,argatroban in sodium chloride,argatroban,gland,,injectable,intravenous,approved,authorised,22.05.2017,2017,no,,,,diseases of the blood and blood-forming organs; diseases of the circulatory system,,,yes,,,FDA,1 indications & usage argatroban is a direct thrombin inhibitor indicated: for prophylaxis or treatment of thrombosis in adult patients with heparin-induced thrombocytopenia (hit) (1.1) as an anticoagulant in adults patients with or at risk for hit undergoing percutaneous coronary intervention (pci) (1.2) 1.1 heparin-induced thrombocytopenia argatroban injection is indicated for prophylaxis or treatment of thrombosis in adult patients with heparin-induced thrombocytopenia (hit). 1.2 percutaneous coronary intervention argatroban injection is indicated as an anticoagulant in adult patients with or at risk for hit undergoing percutaneous coronary intervention (pci).,fda,no,gland,"<thrombosis>; <thrombocytopenia, heparin-induced>",
anda205571,,carbamazepine,carbamazepine,zydus pharms,,tablet,oral,approved,authorised,07.02.2019,2019,no,,,,,,,yes,,,FDA,,fda,no,zydus,,
anda205573,,itraconazole,itraconazole,amneal pharms,,solution,oral,approved,authorised,30.10.2015,2015,no,,,,infectious and parasitic diseases; diseases of the digestive system,,,yes,,,FDA,"indications and usage itraconazole oral solution is indicated for the treatment of oropharyngeal and esophageal candidiasis. (see clinical pharmacology: special populations , warnings , and adverse reactions: postmarketing experience for more information).",fda,no,amneal,<oropharyngeal candidiasis>; <esophageal candidiasis>,
anda205574,,bendamustine hydrochloride,bendamustine hydrochloride,accord hlthcare,,powder,intravenous,approved,authorised,07.12.2022,2022,no,,,,,,,yes,,,FDA,,fda,no,accord,,
anda205575,,solifenacin succinate,solifenacin succinate,alembic,,tablet,oral,approved,authorised,20.05.2019,2019,no,,,,diseases of the genitourinary system,,,yes,,,FDA,"1 indications and usage solifenacin succinate tablet is indicated for the treatment of adults with overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency. solifenacin succinate tablets are muscarinic antagonist indicated for the treatment of adults with overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency. (1)",fda,no,alembic,<overactive bladder>,
anda205576,,propofol,propofol,innopharma,,injectable,injection,approved,authorised,16.09.2020,2020,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205585,,piroxicam,piroxicam,zydus lifesciences,,capsule,oral,approved,authorised,17.07.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,zydus,,
anda205587,,rosuvastatin calcium,rosuvastatin calcium,lupin,,tablet,oral,approved,authorised,31.07.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,lupin,,
anda205588,,norgestimate and ethinyl estradiol,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,26.04.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,lupin,,
anda205589,,aripiprazole,aripiprazole,lupin,,tablet,oral,approved,authorised,18.03.2024,2024,no,,,,,,,yes,,,FDA,,fda,no,lupin,,
anda205591,,acyclovir,acyclovir,cosette,,ointment,topical,approved,discontinued,13.11.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205592,,triamcinolone acetonide,triamcinolone acetonide,cosette,,paste,dental,approved,authorised,12.01.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205594,,desoximetasone,desoximetasone,rising,,cream,topical,approved,authorised,02.07.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205600,,levofloxacin,levofloxacin,micro labs ltd india,,solution; drops,ophthalmic,approved,authorised,27.02.2019,2019,no,,,,,,,yes,,,FDA,,fda,no,micro labs,,
anda205601,,buprenorphine hydrochloride and naloxone hydrochloride,buprenorphine hydrochloride,rhodes pharms,,tablet,sublingual,approved,authorised,30.03.2020,2020,no,,,,,,,yes,,,FDA,,fda,no,rhodes,,
anda205604,,amikacin sulfate,amikacin sulfate,fresenius kabi usa,,injectable,injection,approved,authorised,09.12.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,fresenius,,
anda205605,,amikacin sulfate,amikacin sulfate,fresenius kabi usa,,injectable,injection,approved,discontinued,09.12.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,fresenius,,
anda205606,,esomeprazole magnesium,esomeprazole magnesium,aurobindo pharma ltd,,capsule; pellet,oral,approved,authorised,21.04.2016,2016,no,,,,diseases of the digestive system; infectious and parasitic diseases,,,yes,,,FDA,"1 indications and usage esomeprazole magnesium delayed-release capsules are a proton pump inhibitor (ppi). esomeprazole magnesium delayed-release capsules are indicated for the: short-term treatment in the healing of erosive esophagitis (ee) in adults and pediatric patients 12 years to 17 years of age. ( 1.1 ) maintenance of healing of ee in adults. ( 1.2 ) short-term treatment of heartburn and other symptoms associated gerd in adults and pediatric patients 12 years to 17 years of age. ( 1.3 ) risk reduction of nonsteroidal anti-inflammatory drugs (nsaid)-associated gastric ulcer in adults at risk for developing gastric ulcers due to age (60 years and older) and/or documented history of gastric ulcers. ( 1.4 ) helicobacter pylori eradication in adult patients to reduce the risk of duodenal ulcer recurrence in combination with amoxicillin and clarithromycin. ( 1.5 ) long-term treatment of pathological hypersecretory conditions, including zollinger-ellison syndrome in adults. ( 1.6 ) 1.1 healing of erosive esophagitis (ee) adults esomeprazole magnesium delayed-release capsules are indicated for the short-term treatment (4 to 8 weeks) in the healing and symptomatic resolution of diagnostically confirmed ee in adults. for those patients who have not healed after 4 to 8 weeks of treatment, an additional 4- to 8- week course of esomeprazole magnesium delayed-release capsules may be considered. pediatric patients 12 years to 17 years of age esomeprazole magnesium delayed-release capsules are indicated for the short-term treatment (4 to 8 weeks) for the healing of ee in pediatric patients 12 years to 17 years of age. 1.2 maintenance of healing of ee esomeprazole magnesium delayed-release capsules are indicated for the maintenance of healing of ee in adults. controlled studies do not extend beyond 6 months. 1.3 treatment of symptomatic gerd adults esomeprazole magnesium delayed-release capsules are indicated for short-term treatment (4 to 8 weeks) of heartburn and other symptoms associated with gerd in adults. pediatric patients 12 years to 17 years of age esomeprazole magnesium delayed-release capsules are indicated for short-term treatment (4 weeks) of heartburn and other symptoms associated with gerd in pediatric patients 12 years to 17 years of age. 1.4 risk reduction of nonsteroidal anti-inflammatory drugs (nsaid)-associated gastric ulcer esomeprazole magnesium delayed-release capsules are indicated for the reduction in the occurrence of gastric ulcers associated with continuous nsaid therapy in adult patients at risk for developing gastric ulcers. patients are considered to be at risk due to their age (60 years and older) and/or documented history of gastric ulcers. controlled studies do not extend beyond 6 months. 1.5 helicobacter pylori eradication to reduce the risk of duodenal ulcer recurrence eradication of h. pylori has been shown to reduce the risk of duodenal ulcer recurrence. triple therapy esomeprazole magnesium delayed-release capsules in combination with amoxicillin and clarithromycin is indicated for the treatment of adult patients with h. pylori infection and duodenal ulcer disease (active or history of within the past 5 years) to eradicate h. pylori . in patients who fail therapy, susceptibility testing should be done. if resistance to clarithromycin is demonstrated or susceptibility testing is not possible, alternative antimicrobial therapy should be instituted [see clinical pharmacology (12.4) and the prescribing information for clarithromycin ]. 1.6 pathological hypersecretory conditions including zollinger-ellison syndrome esomeprazole magnesium delayed-release capsules are indicated for the long-term treatment of pathological hypersecretory conditions, including zollinger-ellison syndrome, in adults.",fda,no,aurobindo,<erosive esophagitis>; <gastroesophageal reflux>; <gastric ulcer>; <duodenal ulcer>; <zollinger-ellison syndrome>,
anda205609,,ethacrynic acid,ethacrynic acid,adaptis,,tablet,oral,approved,authorised,30.06.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205612,,ropivacaine hydrochloride,ropivacaine hydrochloride,eugia pharma,,solution,injection,approved,authorised,13.07.2016,2016,no,,,,"pregnancy and childbirth; injury, poisoning and certain other consequences of external causes",,,yes,,,FDA,"1 indications and usage ropivacaine hydrochloride injection is indicated for the production of local or regional anesthesia for surgery and for acute pain management. surgical anesthesia : epidural block for surgery including cesarean section; major nerve block; local infiltration acute pain management : epidural continuous infusion or intermittent bolus, e.g., postoperative or labor; local infiltration ropivacaine hydrochloride injection is an amide local anesthetic indicated in adults for the production of local or regional anesthesia for surgery and for acute pain management. surgical anesthesia : epidural block for surgery including cesarean section; major nerve block; local infiltration acute pain management : epidural continuous infusion or intermittent bolus, e.g., postoperative or labor; local infiltration",fda,no,eugia,not reported,
anda205618,,paliperidone,paliperidone,sun pharm,,tablet,oral,approved,authorised,06.04.2018,2018,no,,,,mental and behavioural disorders,,,yes,,,FDA,"1 indications and usage paliperidone is an atypical antipsychotic agent indicated for treatment of schizophrenia ( 1.1 ) • adults: efficacy was established in three 6-week trials and one maintenance trial. ( 14.1 ) • adolescents (ages 12 to 17): efficacy was established in one 6-week trial. ( 14.1 ) treatment of schizoaffective disorder as monotherapy and as an adjunct to mood stabilizers and/or antidepressants. ( 1.2 ) • efficacy was established in two 6-week trials in adult patients. ( 14.2 ) 1.1 schizophrenia paliperidone extended-release tablets are indicated for the treatment of schizophrenia [see clinical studies (14.1 )] . the efficacy ofpaliperidone extended-release tabletsin schizophrenia was established in three 6-week trials in adults and one 6-week trial in adolescents, as well as one maintenance trial in adults. 1.2 schizoaffective disorder paliperidone extended-release tablets are indicated for the treatment of schizoaffective disorder as monotherapy and an adjunct to mood stabilizers and/or antidepressant therapy [see clinical studies (14.2 )] . the efficacy of paliperidone extended-release tablets in schizoaffective disorder was established in two 6-week trials in adults.",fda,no,sun,<schizophrenia>; <schizoaffective disorder>,
anda205619,,escitalopram oxalate,escitalopram oxalate,amneal pharms,,tablet,oral,approved,authorised,17.05.2017,2017,no,,,,mental and behavioural disorders,,,yes,,,FDA,"1 indications and usage escitalopram tablets are indicated for the treatment of: major depressive disorder (mdd) in adults and pediatric patients 12 years of age and older. generalized anxiety disorder (gad) in adults. additional pediatric use information is approved for abbvie inc.’s lexapro (escitalopram) tablets. however, due to abbvie inc.’s marketing exclusivity rights, this drug product is not labeled with that information. escitalopram tablets are a selective serotonin reuptake inhibitor (ssri) indicated for the: treatment of major depressive disorder (mdd) in adults and pediatric patients 12 years of age and older. (1) treatment of generalized anxiety disorder (gad) in adults. (1)",fda,no,amneal,<major depressive disorder>; <generalized anxiety disorder>,
anda205620,,desoximetasone,desoximetasone,zydus lifesciences,,cream,topical,approved,authorised,28.09.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,zydus,,
anda205622,,rivastigmine,rivastigmine,mylan technologies,,film,transdermal,approved,authorised,20.06.2018,2018,no,,,,diseases of the nervous system,,,yes,,,FDA,"1 indications and usage rivastigmine transdermal system is an acetylcholinesterase inhibitor indicated for treatment of: • mild, moderate, and severe dementia of the alzheimer’s type (ad). ( 1.1 ) • mild-to-moderate dementia associated with parkinson’s disease (pd). ( 1.2 ) 1.1 alzheimer’s disease rivastigmine transdermal system is indicated for the treatment of dementia of the alzheimer’s type (ad). efficacy has been demonstrated in patients with mild, moderate, and severe alzheimer’s disease. 1.2 parkinson’s disease dementia rivastigmine transdermal system is indicated for the treatment of mild-to-moderate dementia associated with parkinson’s disease (pdd).",fda,no,mylan,<alzheimer disease>; <parkinson disease>,
anda205629,,hydromorphone hydrochloride,hydromorphone hydrochloride,osmotica pharm us,,tablet,oral,approved,authorised,07.07.2016,2016,no,,,,diseases of the nervous system,,,yes,,,FDA,"1 indications and usage hydromorphone hydrochloride extended-release tablets are indicated for the management of severe and persistent pain that requires an extended treatment period with a daily opioid analgesic and for which alternative treatment options are inadequate. patients considered opioid tolerant are those who are receiving, for one week or longer, at least 60 mg oral morphine per day, 25 mcg transdermal fentanyl per hour, 30 mg oral oxycodone per day, 8 mg oral hydromorphone per day, 25 mg oral oxymorphone per day, 60 mg oral hydrocodone per day, or an equianalgesic dose of another opioid. limitations of use because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration, and because of the greater risks of overdose and death with extended-release/long-acting opioid formulations, [see warnings and precautions ( 5.1 ) ] , reserve hydromorphone hydrochloride extended-release tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics or immediate-release opioids) are ineffective, not tolerated, or would be otherwise inadequate to provide sufficient management of pain. hydromorphone hydrochloride extended-release tablets are not indicated as an as-needed (prn) analgesic. hydromorphone hydrochloride extended-release tablets are an opioid agonist indicated for the management of severe and persistent pain that requires an extended treatment period with a daily opioid analgesic and for which alternative treatment options are inadequate. patients considered opioid tolerant are those who are taking, for one week or longer, at least 60 mg oral morphine per day, 25 mcg transdermal fentanyl per hour, 30 mg oral oxycodone per day, 8 mg oral hydromorphone per day, 25 mg oral oxymorphone per day, 60 mg oral hydrocodone per day, or an equianalgesic dose of another opioid. limitations of use: because of the risks of addiction, abuse, and misuse with opioids which can occur at any dosage or duration ( 5.1 ), and because of the greater risks of overdose and death with extended-release/long-acting opioid formulations, reserve hydromorphone hydrochloride extended-release tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics or immediate-release opioids) are ineffective, not tolerated, or would be otherwise inadequate to provide sufficient management of pain. ( 1 ) hydromorphone hydrochloride extended-release tablets are not indicated as an as-needed (prn) analgesic. ( 1 )",fda,no,osmotica,<severe pain>,
anda205630,,norgestimate and ethinyl estradiol,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,27.10.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,lupin,,
